"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Overweight BMI","2012","Appalachian","6 to 18","0% or more FPL","49,899","40,505","59,292","17.6","14.6","20.7"
"Overweight BMI","2012","Metropolitan","6 to 18","0% or more FPL","131,256","115,313","147,200","14.8","13.1","16.5"
"Overweight BMI","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","34,032","25,700","42,364","13.6","10.5","16.8"
"Overweight BMI","2012","Suburban","6 to 18","0% or more FPL","46,837","36,208","57,467","15.2","12.0","18.4"
"Overweight BMI","2015","Appalachian","6 to 18","0% or more FPL","57,267","49,763","64,771","18.9","16.6","21.3"
"Overweight BMI","2015","Metropolitan","6 to 18","0% or more FPL","144,196","131,627","156,766","15.7","14.4","17.0"
"Overweight BMI","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","44,751","38,051","51,452","18.4","15.9","21.0"
"Overweight BMI","2015","Suburban","6 to 18","0% or more FPL","39,425","33,967","44,883","14.7","12.8","16.7"
"Overweight BMI","2017","Appalachian","6 to 18","0% or more FPL","46,206","38,905","53,506","16.3","13.8","18.7"
"Overweight BMI","2017","Metropolitan","6 to 18","0% or more FPL","131,098","118,547","143,648","15.5","14.1","16.9"
"Overweight BMI","2017","Rural Non-Appalachian","6 to 18","0% or more FPL","44,008","37,177","50,840","17.0","14.5","19.5"
"Overweight BMI","2017","Suburban","6 to 18","0% or more FPL","50,263","42,561","57,965","16.7","14.3","19.1"
"Overweight BMI","2019","Appalachian","6 to 18","0% or more FPL","24,785","19,462","30,107","9.8","7.7","11.9"
"Overweight BMI","2019","Metropolitan","6 to 18","0% or more FPL","143,200","126,874","159,526","15.6","13.9","17.3"
"Overweight BMI","2019","Rural Non-Appalachian","6 to 18","0% or more FPL","31,870","26,058","37,683","14.2","11.5","16.8"
"Overweight BMI","2019","Suburban","6 to 18","0% or more FPL","47,099","36,531","57,668","15.5","12.1","18.9"
"Overweight BMI","2021","Appalachian","6 to 18","0% or more FPL","40,185","31,975","48,394","15.2","12.2","18.2"
"Overweight BMI","2021","Metropolitan","6 to 18","0% or more FPL","155,181","137,398","172,963","15.6","13.9","17.3"
"Overweight BMI","2021","Rural Non-Appalachian","6 to 18","0% or more FPL","49,297","39,537","59,058","19.8","16.2","23.4"
"Overweight BMI","2021","Suburban","6 to 18","0% or more FPL","51,756","40,552","62,959","15.6","12.5","18.7"
