"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"White","2012","Appalachian","0 to 18","0% or more FPL","410,715","388,528","432,901","92.4","91.0","93.9"
"White","2012","Metropolitan","0 to 18","0% or more FPL","961,164","924,446","997,883","61.7","59.9","63.4"
"White","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","362,360","338,565","386,155","89.4","87.4","91.5"
"White","2012","Suburban","0 to 18","0% or more FPL","422,811","396,147","449,476","86.1","83.8","88.4"
"Black","2012","Appalachian","0 to 18","0% or more FPL","17,289","12,047","22,532","3.9","2.7","5.1"
"Black","2012","Metropolitan","0 to 18","0% or more FPL","394,167","368,192","420,142","25.3","23.7","26.8"
"Black","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","12,593","7,673","17,512","3.1","1.9","4.3"
"Black","2012","Suburban","0 to 18","0% or more FPL","24,788","17,478","32,098","5.0","3.6","6.5"
"Hispanic","2012","Appalachian","0 to 18","0% or more FPL","12,329","8,560","16,099","2.8","1.9","3.6"
"Hispanic","2012","Metropolitan","0 to 18","0% or more FPL","90,449","79,512","101,387","5.8","5.1","6.5"
"Hispanic","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","18,919","13,769","24,069","4.7","3.4","5.9"
"Hispanic","2012","Suburban","0 to 18","0% or more FPL","20,790","14,890","26,691","4.2","3.0","5.4"
"Asian","2012","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asian","2012","Metropolitan","0 to 18","0% or more FPL","102,745","86,706","118,784","6.6","5.6","7.6"
"Asian","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","10,240","5,467","15,012","2.5","1.4","3.7"
"Asian","2012","Suburban","0 to 18","0% or more FPL","21,235","13,684","28,786","4.3","2.8","5.8"
"Other","2012","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Other","2012","Metropolitan","0 to 18","0% or more FPL","9,659","7,760","11,558","0.6","0.5","0.7"
"Other","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Other","2012","Suburban","0 to 18","0% or more FPL","1,628","988","2,269","0.3","0.2","0.5"
"White","2015","Appalachian","0 to 18","0% or more FPL","417,886","404,219","431,553","88.2","86.7","89.8"
"White","2015","Metropolitan","0 to 18","0% or more FPL","923,201","897,598","948,804","61.0","59.7","62.3"
"White","2015","Rural Non-Appalachian","0 to 18","0% or more FPL","336,052","322,576","349,528","87.8","86.2","89.3"
"White","2015","Suburban","0 to 18","0% or more FPL","362,366","348,728","376,003","86.8","85.2","88.4"
"Black","2015","Appalachian","0 to 18","0% or more FPL","14,749","11,827","17,671","3.1","2.5","3.7"
"Black","2015","Metropolitan","0 to 18","0% or more FPL","364,402","346,828","381,976","24.1","22.9","25.2"
"Black","2015","Rural Non-Appalachian","0 to 18","0% or more FPL","12,402","9,448","15,356","3.2","2.5","4.0"
"Black","2015","Suburban","0 to 18","0% or more FPL","16,407","13,585","19,229","3.9","3.2","4.6"
"Hispanic","2015","Appalachian","0 to 18","0% or more FPL","12,203","8,975","15,430","2.6","1.9","3.3"
"Hispanic","2015","Metropolitan","0 to 18","0% or more FPL","112,864","101,187","124,541","7.5","6.7","8.2"
