"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Employer-Sponsored","2010","Appalachian","0 to 17","0% or more FPL","164,146","141,551","186,740","39.5","34.0","45.0"
"Employer-Sponsored","2010","Metropolitan","0 to 17","0% or more FPL","668,310","620,848","715,772","43.7","40.6","46.8"
"Employer-Sponsored","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","204,628","180,592","228,664","55.8","49.8","61.7"
"Employer-Sponsored","2010","Suburban","0 to 17","0% or more FPL","234,814","209,580","260,049","53.5","47.8","59.2"
"Medicaid","2010","Appalachian","0 to 17","0% or more FPL","182,300","152,149","212,451","43.8","38.0","49.7"
"Medicaid","2010","Metropolitan","0 to 17","0% or more FPL","606,676","548,993","664,358","39.7","36.5","42.8"
"Medicaid","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","106,793","83,031","130,555","29.1","23.4","34.8"
"Medicaid","2010","Suburban","0 to 17","0% or more FPL","124,734","97,399","152,069","28.4","23.0","33.9"
"Other Insured","2010","Appalachian","0 to 17","0% or more FPL","50,795","34,890","66,700","12.2","8.5","16.0"
"Other Insured","2010","Metropolitan","0 to 17","0% or more FPL","186,544","154,588","218,500","12.2","10.1","14.2"
"Other Insured","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","40,666","27,398","53,935","11.1","7.5","14.6"
"Other Insured","2010","Suburban","0 to 17","0% or more FPL","54,490","36,514","72,466","12.4","8.5","16.3"
"Uninsured","2010","Appalachian","0 to 17","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Uninsured","2010","Metropolitan","0 to 17","0% or more FPL","68,278","46,897","89,659","4.5","3.1","5.8"
"Uninsured","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Uninsured","2010","Suburban","0 to 17","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Employer-Sponsored","2012","Appalachian","0 to 17","0% or more FPL","148,329","135,009","161,648","35.1","32.1","38.1"
"Employer-Sponsored","2012","Metropolitan","0 to 17","0% or more FPL","671,109","640,673","701,545","45.2","43.3","47.0"
"Employer-Sponsored","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","182,371","165,881","198,860","47.6","43.8","51.4"
"Employer-Sponsored","2012","Suburban","0 to 17","0% or more FPL","266,560","245,212","287,909","57.7","54.1","61.2"
"Medicaid","2012","Appalachian","0 to 17","0% or more FPL","224,593","204,189","244,997","53.1","49.9","56.4"
