"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Well Child Visit","2010","Appalachian","0 to 17","0% or more FPL","258,509","228,788","288,230","69.9","64.4","75.4"
"Well Child Visit","2010","Metropolitan","0 to 17","0% or more FPL","1,079,187","1,021,856","1,136,517","80.1","77.4","82.8"
"Well Child Visit","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","236,984","208,554","265,414","71.1","65.8","76.4"
"Well Child Visit","2010","Suburban","0 to 17","0% or more FPL","305,203","274,537","335,870","78.7","74.1","83.4"
"Well Child Visit","2012","Appalachian","0 to 17","0% or more FPL","290,661","270,408","310,913","75.5","72.5","78.5"
"Well Child Visit","2012","Metropolitan","0 to 17","0% or more FPL","1,146,803","1,107,153","1,186,453","84.4","83.0","85.8"
"Well Child Visit","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","279,505","257,808","301,201","79.4","76.3","82.6"
"Well Child Visit","2012","Suburban","0 to 17","0% or more FPL","352,290","327,747","376,832","82.1","79.3","85.0"
"Well Child Visit","2015","Appalachian","0 to 17","0% or more FPL","231,308","218,256","244,360","55.0","52.5","57.5"
"Well Child Visit","2015","Metropolitan","0 to 17","0% or more FPL","799,921","774,032","825,811","59.3","57.8","60.8"
"Well Child Visit","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","178,645","166,889","190,401","52.1","49.4","54.7"
"Well Child Visit","2015","Suburban","0 to 17","0% or more FPL","204,109","192,346","215,872","54.9","52.5","57.4"
"Well Child Visit","2017","Appalachian","0 to 17","0% or more FPL","342,944","327,594","358,294","81.6","79.6","83.7"
"Well Child Visit","2017","Metropolitan","0 to 17","0% or more FPL","1,087,480","1,061,468","1,113,492","85.0","83.8","86.1"
"Well Child Visit","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","287,939","273,959","301,918","78.7","76.5","80.9"
"Well Child Visit","2017","Suburban","0 to 17","0% or more FPL","368,392","350,674","386,109","85.2","83.2","87.1"
"Well Child Visit","2019","Appalachian","0 to 17","0% or more FPL","299,091","278,664","319,517","81.5","79.0","83.9"
"Well Child Visit","2019","Metropolitan","0 to 17","0% or more FPL","1,164,930","1,127,288","1,202,572","85.5","83.9","87.2"
"Well Child Visit","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","278,797","254,511","303,083","81.2","78.1","84.2"
"Well Child Visit","2019","Suburban","0 to 17","0% or more FPL","365,226","343,630","386,823","85.7","83.5","87.8"
"Well Child Visit","2021","Appalachian","0 to 17","0% or more FPL","290,664","273,749","307,578","78.6","75.4","81.8"
"Well Child Visit","2021","Metropolitan","0 to 17","0% or more FPL","1,171,054","1,133,824","1,208,283","83.3","81.9","84.8"
"Well Child Visit","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","286,803","269,092","304,515","81.7","78.8","84.5"
"Well Child Visit","2021","Suburban","0 to 17","0% or more FPL","389,323","368,695","409,951","87.5","85.4","89.6"
