"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"0-5","2010","Appalachian","0 to 17","0% or more FPL","140,691","115,501","165,880","33.8","28.3","39.4"
"0-5","2010","Metropolitan","0 to 17","0% or more FPL","417,489","369,370","465,609","27.3","24.4","30.2"
"0-5","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","129,147","104,002","154,292","35.2","29.3","41.0"
"0-5","2010","Suburban","0 to 17","0% or more FPL","129,539","102,899","156,179","29.5","24.2","34.9"
"6-11","2010","Appalachian","0 to 17","0% or more FPL","119,613","95,484","143,741","28.8","23.4","34.1"
"6-11","2010","Metropolitan","0 to 17","0% or more FPL","507,476","456,966","557,986","33.2","30.2","36.2"
"6-11","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","116,917","95,364","138,469","31.9","26.4","37.3"
"6-11","2010","Suburban","0 to 17","0% or more FPL","133,649","109,781","157,517","30.5","25.4","35.6"
"12-17","2010","Appalachian","0 to 17","0% or more FPL","155,522","130,888","180,156","37.4","31.9","42.9"
"12-17","2010","Metropolitan","0 to 17","0% or more FPL","604,843","556,294","653,393","39.5","36.5","42.6"
"12-17","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","120,930","101,400","140,460","33.0","27.7","38.2"
"12-17","2010","Suburban","0 to 17","0% or more FPL","175,619","150,062","201,175","40.0","34.6","45.4"
"0-5","2012","Appalachian","0 to 17","0% or more FPL","119,667","104,609","134,725","28.3","25.2","31.4"
"0-5","2012","Metropolitan","0 to 17","0% or more FPL","496,117","464,122","528,112","33.4","31.5","35.2"
"0-5","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","122,261","105,925","138,597","31.9","28.3","35.5"
"0-5","2012","Suburban","0 to 17","0% or more FPL","128,951","111,306","146,596","27.9","24.6","31.2"
"6-11","2012","Appalachian","0 to 17","0% or more FPL","144,036","128,200","159,872","34.1","30.9","37.3"
"6-11","2012","Metropolitan","0 to 17","0% or more FPL","475,457","445,035","505,878","32.0","30.2","33.8"
"6-11","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","119,539","103,750","135,327","31.2","27.6","34.8"
"6-11","2012","Suburban","0 to 17","0% or more FPL","159,453","140,956","177,951","34.5","31.1","37.9"
"12-17","2012","Appalachian","0 to 17","0% or more FPL","159,118","144,277","173,959","37.6","34.5","40.8"
"12-17","2012","Metropolitan","0 to 17","0% or more FPL","514,335","486,797","541,872","34.6","32.9","36.4"
"12-17","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","141,563","126,040","157,086","36.9","33.3","40.5"
"12-17","2012","Suburban","0 to 17","0% or more FPL","173,874","156,156","191,592","37.6","34.2","41.0"
"0-5","2015","Appalachian","0 to 17","0% or more FPL","139,998","129,070","150,925","31.0","28.8","33.2"
"0-5","2015","Metropolitan","0 to 17","0% or more FPL","463,952","441,561","486,342","32.3","30.9","33.7"
"0-5","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","112,663","103,047","122,280","31.0","28.6","33.3"
"0-5","2015","Suburban","0 to 17","0% or more FPL","123,327","113,639","133,016","31.3","29.1","33.4"
"6-11","2015","Appalachian","0 to 17","0% or more FPL","155,301","143,475","167,127","34.4","32.1","36.6"
"6-11","2015","Metropolitan","0 to 17","0% or more FPL","463,978","441,640","486,316","32.3","30.9","33.7"
"6-11","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","122,010","111,126","132,895","33.5","31.0","36.0"
"6-11","2015","Suburban","0 to 17","0% or more FPL","123,204","112,692","133,715","31.2","28.9","33.5"
"12-17","2015","Appalachian","0 to 17","0% or more FPL","156,749","145,917","167,581","34.7","32.4","36.9"
"12-17","2015","Metropolitan","0 to 17","0% or more FPL","509,404","489,248","529,559","35.4","34.1","36.8"
"12-17","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","129,277","119,986","138,568","35.5","33.1","37.9"
"12-17","2015","Suburban","0 to 17","0% or more FPL","148,021","138,215","157,827","37.5","35.3","39.8"
"0-5","2017","Appalachian","0 to 17","0% or more FPL","141,640","129,969","153,311","31.9","29.5","34.2"
"0-5","2017","Metropolitan","0 to 17","0% or more FPL","431,185","410,092","452,279","32.2","30.7","33.6"
"0-5","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","114,837","104,622","125,051","29.8","27.4","32.3"
"0-5","2017","Suburban","0 to 17","0% or more FPL","134,520","121,963","147,077","29.9","27.5","32.3"
"6-11","2017","Appalachian","0 to 17","0% or more FPL","145,407","132,514","158,301","32.7","30.2","35.2"
"6-11","2017","Metropolitan","0 to 17","0% or more FPL","437,883","415,100","460,667","32.7","31.2","34.2"
"6-11","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","126,436","115,035","137,838","32.8","30.3","35.3"
"6-11","2017","Suburban","0 to 17","0% or more FPL","146,314","132,811","159,816","32.5","30.0","35.0"
"12-17","2017","Appalachian","0 to 17","0% or more FPL","157,633","146,142","169,123","35.4","33.0","37.9"
"12-17","2017","Metropolitan","0 to 17","0% or more FPL","471,818","452,044","491,592","35.2","33.8","36.6"
"12-17","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","143,730","133,128","154,333","37.3","34.8","39.9"
"12-17","2017","Suburban","0 to 17","0% or more FPL","169,385","157,383","181,388","37.6","35.2","40.1"
"0-5","2019","Appalachian","0 to 17","0% or more FPL","113,819","101,270","126,367","29.3","26.4","32.2"
