"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","0 to 18","0% or more FPL","216,639","198,690","234,587","55.1","51.6","58.5"
"Did not need care","2021","Metropolitan","0 to 18","0% or more FPL","827,477","794,263","860,691","56.3","54.3","58.2"
"Did not need care","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","205,738","189,748","221,728","56.0","52.3","59.6"
"Did not need care","2021","Suburban","0 to 18","0% or more FPL","263,313","244,163","282,463","56.5","53.2","59.8"
"Received needed care","2021","Appalachian","0 to 18","0% or more FPL","152,615","138,883","166,347","38.8","35.5","42.1"
"Received needed care","2021","Metropolitan","0 to 18","0% or more FPL","568,326","535,570","601,082","38.6","36.7","40.6"
"Received needed care","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","149,044","134,354","163,733","40.5","37.0","44.1"
"Received needed care","2021","Suburban","0 to 18","0% or more FPL","191,542","174,635","208,450","41.1","37.8","44.4"
"Did not receive needed care","2021","Appalachian","0 to 18","0% or more FPL","24,226","18,280","30,173","6.2","4.7","7.7"
"Did not receive needed care","2021","Metropolitan","0 to 18","0% or more FPL","75,007","61,852","88,163","5.1","4.2","6.0"
"Did not receive needed care","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Did not receive needed care","2021","Suburban","0 to 18","0% or more FPL","11,299","6,822","15,776","2.4","1.5","3.4"
