"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Underweight","2012","Appalachian","6 to 18","0% or more FPL","17,944","12,483","23,406","6.3","4.4","8.2"
"Underweight","2012","Metropolitan","6 to 18","0% or more FPL","63,977","52,714","75,239","7.2","6.0","8.4"
"Underweight","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","21,913","15,503","28,323","8.8","6.3","11.3"
"Underweight","2012","Suburban","6 to 18","0% or more FPL","27,271","19,320","35,221","8.8","6.4","11.3"
"Healthy","2012","Appalachian","6 to 18","0% or more FPL","151,909","136,752","167,067","53.6","49.7","57.6"
"Healthy","2012","Metropolitan","6 to 18","0% or more FPL","527,962","498,966","556,957","59.5","57.2","61.8"
"Healthy","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","137,156","122,087","152,225","55.0","50.4","59.5"
"Healthy","2012","Suburban","6 to 18","0% or more FPL","193,085","174,988","211,183","62.6","58.5","66.8"
"Overweight","2012","Appalachian","6 to 18","0% or more FPL","49,899","40,505","59,292","17.6","14.6","20.7"
"Overweight","2012","Metropolitan","6 to 18","0% or more FPL","131,256","115,313","147,200","14.8","13.1","16.5"
"Overweight","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","34,032","25,700","42,364","13.6","10.5","16.8"
"Overweight","2012","Suburban","6 to 18","0% or more FPL","46,837","36,208","57,467","15.2","12.0","18.4"
"Obese","2012","Appalachian","6 to 18","0% or more FPL","63,631","53,624","73,637","22.5","19.2","25.7"
"Obese","2012","Metropolitan","6 to 18","0% or more FPL","164,381","146,688","182,073","18.5","16.7","20.4"
"Obese","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","56,499","44,934","68,064","22.6","18.6","26.7"
"Obese","2012","Suburban","6 to 18","0% or more FPL","41,209","31,781","50,636","13.4","10.5","16.3"
"Underweight","2015","Appalachian","6 to 18","0% or more FPL","22,485","17,925","27,045","7.4","6.0","8.9"
"Underweight","2015","Metropolitan","6 to 18","0% or more FPL","78,085","68,595","87,575","8.5","7.5","9.5"
"Underweight","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","19,671","15,303","24,038","8.1","6.4","9.9"
"Underweight","2015","Suburban","6 to 18","0% or more FPL","24,703","20,025","29,381","9.2","7.5","10.9"
"Healthy","2015","Appalachian","6 to 18","0% or more FPL","140,090","129,465","150,716","46.4","43.5","49.2"
"Healthy","2015","Metropolitan","6 to 18","0% or more FPL","468,938","448,955","488,922","51.2","49.4","52.9"
"Healthy","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","128,660","118,773","138,548","53.0","49.9","56.2"
"Healthy","2015","Suburban","6 to 18","0% or more FPL","152,193","141,782","162,605","56.9","54.0","59.7"
"Overweight","2015","Appalachian","6 to 18","0% or more FPL","57,267","49,763","64,771","18.9","16.6","21.3"
"Overweight","2015","Metropolitan","6 to 18","0% or more FPL","144,196","131,627","156,766","15.7","14.4","17.0"
"Overweight","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","44,751","38,051","51,452","18.4","15.9","21.0"
"Overweight","2015","Suburban","6 to 18","0% or more FPL","39,425","33,967","44,883","14.7","12.8","16.7"
"Obese","2015","Appalachian","6 to 18","0% or more FPL","82,383","73,837","90,929","27.3","24.7","29.8"
"Obese","2015","Metropolitan","6 to 18","0% or more FPL","225,228","209,120","241,336","24.6","23.0","26.2"
