"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Male","2010","Appalachian","0 to 17","0% or more FPL","235,499","205,660","265,339","56.6","50.9","62.4"
"Male","2010","Metropolitan","0 to 17","0% or more FPL","785,291","729,982","840,600","51.3","48.2","54.5"
"Male","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","208,013","179,600","236,427","56.7","50.9","62.4"
"Male","2010","Suburban","0 to 17","0% or more FPL","239,841","209,058","270,623","54.7","49.1","60.2"
"Female","2010","Appalachian","0 to 17","0% or more FPL","180,326","154,364","206,288","43.4","37.6","49.1"
"Female","2010","Metropolitan","0 to 17","0% or more FPL","744,517","688,312","800,721","48.7","45.5","51.8"
"Female","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","158,980","137,397","180,563","43.3","37.6","49.1"
"Female","2010","Suburban","0 to 17","0% or more FPL","198,966","171,619","226,313","45.3","39.8","50.9"
"Male","2012","Appalachian","0 to 17","0% or more FPL","216,366","198,553","234,180","51.2","47.8","54.5"
"Male","2012","Metropolitan","0 to 17","0% or more FPL","754,150","719,484","788,816","50.8","48.8","52.7"
"Male","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","200,008","180,693","219,324","52.2","48.4","56.0"
"Male","2012","Suburban","0 to 17","0% or more FPL","230,658","209,732","251,583","49.9","46.3","53.5"
"Female","2012","Appalachian","0 to 17","0% or more FPL","206,455","188,112","224,798","48.8","45.5","52.2"
"Female","2012","Metropolitan","0 to 17","0% or more FPL","731,758","696,514","767,003","49.2","47.3","51.2"
"Female","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","183,355","165,004","201,705","47.8","44.0","51.6"
"Female","2012","Suburban","0 to 17","0% or more FPL","231,621","209,674","253,567","50.1","46.5","53.7"
"Male","2015","Appalachian","0 to 17","0% or more FPL","235,941","222,691","249,190","52.2","49.8","54.6"
"Male","2015","Metropolitan","0 to 17","0% or more FPL","726,617","701,546","751,688","50.6","49.1","52.0"
"Male","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","187,126","175,277","198,976","51.4","48.8","54.0"
"Male","2015","Suburban","0 to 17","0% or more FPL","197,948","186,143","209,753","50.2","47.8","52.5"
"Female","2015","Appalachian","0 to 17","0% or more FPL","216,107","203,358","228,857","47.8","45.4","50.2"
"Female","2015","Metropolitan","0 to 17","0% or more FPL","710,716","685,948","735,485","49.4","48.0","50.9"
"Female","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","176,824","165,399","188,250","48.6","46.0","51.2"
"Female","2015","Suburban","0 to 17","0% or more FPL","196,604","184,869","208,339","49.8","47.5","52.2"
"Male","2017","Appalachian","0 to 17","0% or more FPL","237,143","223,129","251,158","53.3","50.8","55.9"
"Male","2017","Metropolitan","0 to 17","0% or more FPL","680,706","656,464","704,949","50.8","49.2","52.3"
"Male","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","189,526","177,484","201,568","49.2","46.6","51.9"
"Male","2017","Suburban","0 to 17","0% or more FPL","235,222","220,087","250,356","52.2","49.6","54.9"
"Female","2017","Appalachian","0 to 17","0% or more FPL","207,537","194,133","220,941","46.7","44.1","49.2"
"Female","2017","Metropolitan","0 to 17","0% or more FPL","660,179","635,813","684,546","49.2","47.7","50.8"
"Female","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","195,477","182,524","208,430","50.8","48.1","53.4"
"Female","2017","Suburban","0 to 17","0% or more FPL","214,997","200,031","229,963","47.8","45.1","50.4"
"Male","2019","Appalachian","0 to 17","0% or more FPL","202,714","184,860","220,569","52.3","48.6","56.0"
"Male","2019","Metropolitan","0 to 17","0% or more FPL","707,692","674,887","740,498","49.6","47.6","51.6"
"Male","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","194,899","171,173","218,626","54.2","50.2","58.3"
"Male","2019","Suburban","0 to 17","0% or more FPL","239,236","219,247","259,224","53.6","50.1","57.2"
"Female","2019","Appalachian","0 to 17","0% or more FPL","184,923","167,704","202,142","47.7","44.0","51.4"
"Female","2019","Metropolitan","0 to 17","0% or more FPL","718,458","682,750","754,166","50.4","48.4","52.4"
"Female","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","164,463","149,383","179,543","45.8","41.7","49.8"
"Female","2019","Suburban","0 to 17","0% or more FPL","206,842","187,519","226,166","46.4","42.8","49.9"
"Male","2021","Appalachian","0 to 17","0% or more FPL","208,422","190,509","226,336","54.8","51.2","58.3"
"Male","2021","Metropolitan","0 to 17","0% or more FPL","741,356","708,230","774,481","51.7","49.7","53.6"
"Male","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","178,345","162,134","194,556","50.0","46.3","53.8"
"Male","2021","Suburban","0 to 17","0% or more FPL","215,575","198,979","232,172","47.9","44.5","51.3"
"Female","2021","Appalachian","0 to 17","0% or more FPL","172,043","157,493","186,592","45.2","41.7","48.8"
"Female","2021","Metropolitan","0 to 17","0% or more FPL","693,773","659,556","727,990","48.3","46.4","50.3"
"Female","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","178,103","162,644","193,561","50.0","46.2","53.7"
"Female","2021","Suburban","0 to 17","0% or more FPL","234,409","214,636","254,182","52.1","48.7","55.5"
