"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"No Usual Source of Care","2019","Appalachian","0 to 18","0% or more FPL","6,715","4,130","9,300","1.7","1.1","2.4"
"No Usual Source of Care","2019","Metropolitan","0 to 18","0% or more FPL","28,137","21,350","34,924","2.0","1.5","2.4"
"No Usual Source of Care","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","4,827","2,541","7,113","1.3","0.7","2.0"
"No Usual Source of Care","2019","Suburban","0 to 18","0% or more FPL","5,326","2,797","7,854","1.2","0.6","1.8"
"Doctor's Office or Health Center","2019","Appalachian","0 to 18","0% or more FPL","323,938","302,713","345,164","84.3","81.9","86.7"
"Doctor's Office or Health Center","2019","Metropolitan","0 to 18","0% or more FPL","1,207,489","1,167,954","1,247,023","84.3","82.9","85.7"
"Doctor's Office or Health Center","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","317,867","292,498","343,236","87.7","85.4","90.1"
"Doctor's Office or Health Center","2019","Suburban","0 to 18","0% or more FPL","402,906","381,199","424,613","90.2","88.5","91.9"
"Hospital ER","2019","Appalachian","0 to 18","0% or more FPL","9,499","6,248","12,751","2.5","1.6","3.3"
"Hospital ER","2019","Metropolitan","0 to 18","0% or more FPL","71,923","60,427","83,418","5.0","4.2","5.8"
"Hospital ER","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","6,892","3,823","9,960","1.9","1.1","2.7"
"Hospital ER","2019","Suburban","0 to 18","0% or more FPL","7,603","4,423","10,782","1.7","1.0","2.4"
"Urgent Care Center","2019","Appalachian","0 to 18","0% or more FPL","28,677","22,476","34,878","7.5","5.8","9.1"
"Urgent Care Center","2019","Metropolitan","0 to 18","0% or more FPL","53,724","43,303","64,146","3.8","3.0","4.5"
"Urgent Care Center","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","17,862","11,361","24,362","4.9","3.2","6.7"
"Urgent Care Center","2019","Suburban","0 to 18","0% or more FPL","15,686","11,066","20,305","3.5","2.5","4.5"
"Clinic in a Pharmacy or Grocery Store","2019","Appalachian","0 to 18","0% or more FPL","6,423","3,744","9,103","1.7","1.0","2.4"
"Clinic in a Pharmacy or Grocery Store","2019","Metropolitan","0 to 18","0% or more FPL","40,680","32,148","49,211","2.8","2.2","3.4"
"Clinic in a Pharmacy or Grocery Store","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","7,685","4,626","10,745","2.1","1.3","3.0"
"Clinic in a Pharmacy or Grocery Store","2019","Suburban","0 to 18","0% or more FPL","10,554","6,662","14,446","2.4","1.5","3.2"
"Some Other Place","2019","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Some Other Place","2019","Metropolitan","0 to 18","0% or more FPL","30,500","21,929","39,071","2.1","1.5","2.7"
"Some Other Place","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Some Other Place","2019","Suburban","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"No Usual Source of Care","2021","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"No Usual Source of Care","2021","Metropolitan","0 to 18","0% or more FPL","26,509","19,631","33,387","1.8","1.3","2.3"
"No Usual Source of Care","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
