"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Dental Visit","2010","Appalachian","0 to 17","0% or more FPL","293,486","264,108","322,863","82.3","77.3","87.3"
"Dental Visit","2010","Metropolitan","0 to 17","0% or more FPL","1,161,686","1,104,578","1,218,793","88.5","86.3","90.7"
"Dental Visit","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","275,431","248,946","301,915","87.1","82.9","91.4"
"Dental Visit","2010","Suburban","0 to 17","0% or more FPL","299,044","271,557","326,532","84.9","79.9","89.8"
"Dental Visit","2012","Appalachian","0 to 17","0% or more FPL","292,158","272,552","311,764","87.7","85.2","90.2"
"Dental Visit","2012","Metropolitan","0 to 17","0% or more FPL","1,018,702","981,344","1,056,060","90.6","89.3","91.9"
"Dental Visit","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","270,269","249,390","291,148","88.8","86.0","91.5"
"Dental Visit","2012","Suburban","0 to 17","0% or more FPL","344,458","320,117","368,800","93.0","91.0","95.0"
"Dental Visit","2015","Appalachian","0 to 17","0% or more FPL","325,381","311,015","339,748","73.9","71.8","76.1"
"Dental Visit","2015","Metropolitan","0 to 17","0% or more FPL","1,007,242","980,377","1,034,108","72.7","71.4","74.0"
"Dental Visit","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","254,446","241,533","267,358","72.4","70.1","74.7"
"Dental Visit","2015","Suburban","0 to 17","0% or more FPL","277,809","264,558","291,060","72.2","70.1","74.3"
"Dental Visit","2017","Appalachian","0 to 17","0% or more FPL","292,712","277,908","307,515","73.6","71.1","76.0"
"Dental Visit","2017","Metropolitan","0 to 17","0% or more FPL","933,241","908,046","958,436","78.1","76.8","79.5"
"Dental Visit","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","270,875","257,068","284,682","77.1","74.6","79.5"
"Dental Visit","2017","Suburban","0 to 17","0% or more FPL","324,404","308,011","340,796","79.6","77.3","81.9"
"Dental Visit","2019","Appalachian","0 to 17","0% or more FPL","264,479","245,754","283,204","76.4","73.3","79.4"
"Dental Visit","2019","Metropolitan","0 to 17","0% or more FPL","1,023,803","985,399","1,062,207","78.3","76.6","79.9"
"Dental Visit","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","237,575","212,326","262,823","73.6","69.7","77.6"
"Dental Visit","2019","Suburban","0 to 17","0% or more FPL","315,645","295,492","335,797","78.1","75.3","80.8"
"Dental Visit","2021","Appalachian","0 to 17","0% or more FPL","228,989","213,203","244,775","70.0","66.3","73.8"
"Dental Visit","2021","Metropolitan","0 to 17","0% or more FPL","977,948","940,964","1,014,933","78.1","76.4","79.8"
"Dental Visit","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","244,570","227,803","261,336","77.1","73.7","80.6"
"Dental Visit","2021","Suburban","0 to 17","0% or more FPL","332,783","313,088","352,479","82.5","79.6","85.4"
