"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Asthma ever","2012","Appalachian","0 to 18","0% or more FPL","81,255","68,985","93,524","19.4","16.6","22.1"
"Asthma ever","2012","Metropolitan","0 to 18","0% or more FPL","219,530","199,087","239,973","14.8","13.5","16.1"
"Asthma ever","2012","Rural Non-Appalachian","0 to 18","0% or more FPL","54,762","43,390","66,135","14.0","11.3","16.7"
"Asthma ever","2012","Suburban","0 to 18","0% or more FPL","68,676","56,509","80,843","14.6","12.1","17.1"
"Asthma ever","2015","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2015","Metropolitan","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2015","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2015","Suburban","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2017","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2017","Metropolitan","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2017","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2017","Suburban","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asthma ever","2019","Appalachian","0 to 18","0% or more FPL","48,845","38,706","58,985","12.3","9.8","14.9"
"Asthma ever","2019","Metropolitan","0 to 18","0% or more FPL","221,253","200,369","242,136","15.2","13.8","16.6"
"Asthma ever","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","45,370","34,840","55,900","12.2","9.5","15.0"
"Asthma ever","2019","Suburban","0 to 18","0% or more FPL","49,477","40,118","58,836","10.7","8.8","12.7"
"Asthma ever","2021","Appalachian","0 to 18","0% or more FPL","39,772","31,993","47,551","9.9","8.0","11.9"
"Asthma ever","2021","Metropolitan","0 to 18","0% or more FPL","191,845","172,453","211,237","13.0","11.7","14.2"
"Asthma ever","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","48,318","37,360","59,276","12.9","10.2","15.7"
"Asthma ever","2021","Suburban","0 to 18","0% or more FPL","53,788","43,717","63,858","11.5","9.4","13.6"
