"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Healthy BMI","2012","Appalachian","6 to 18","0% or more FPL","151,909","136,752","167,067","53.6","49.7","57.6"
"Healthy BMI","2012","Metropolitan","6 to 18","0% or more FPL","527,962","498,966","556,957","59.5","57.2","61.8"
"Healthy BMI","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","137,156","122,087","152,225","55.0","50.4","59.5"
"Healthy BMI","2012","Suburban","6 to 18","0% or more FPL","193,085","174,988","211,183","62.6","58.5","66.8"
"Healthy BMI","2015","Appalachian","6 to 18","0% or more FPL","140,090","129,465","150,716","46.4","43.5","49.2"
"Healthy BMI","2015","Metropolitan","6 to 18","0% or more FPL","468,938","448,955","488,922","51.2","49.4","52.9"
"Healthy BMI","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","128,660","118,773","138,548","53.0","49.9","56.2"
"Healthy BMI","2015","Suburban","6 to 18","0% or more FPL","152,193","141,782","162,605","56.9","54.0","59.7"
"Healthy BMI","2017","Appalachian","6 to 18","0% or more FPL","142,549","131,305","153,792","50.2","47.0","53.5"
"Healthy BMI","2017","Metropolitan","6 to 18","0% or more FPL","443,402","423,111","463,692","52.5","50.6","54.5"
"Healthy BMI","2017","Rural Non-Appalachian","6 to 18","0% or more FPL","127,842","117,249","138,435","49.5","46.2","52.7"
"Healthy BMI","2017","Suburban","6 to 18","0% or more FPL","163,418","151,148","175,687","54.3","51.1","57.5"
"Healthy BMI","2019","Appalachian","6 to 18","0% or more FPL","127,292","113,957","140,627","50.4","46.2","54.7"
"Healthy BMI","2019","Metropolitan","6 to 18","0% or more FPL","469,736","440,123","499,350","51.2","48.6","53.8"
"Healthy BMI","2019","Rural Non-Appalachian","6 to 18","0% or more FPL","124,550","105,113","143,986","55.5","50.7","60.3"
"Healthy BMI","2019","Suburban","6 to 18","0% or more FPL","165,359","148,742","181,977","54.3","49.9","58.8"
"Healthy BMI","2021","Appalachian","6 to 18","0% or more FPL","137,505","123,096","151,914","52.0","47.9","56.2"
"Healthy BMI","2021","Metropolitan","6 to 18","0% or more FPL","533,948","503,421","564,474","53.8","51.4","56.1"
"Healthy BMI","2021","Rural Non-Appalachian","6 to 18","0% or more FPL","117,868","104,570","131,167","47.3","42.9","51.6"
"Healthy BMI","2021","Suburban","6 to 18","0% or more FPL","199,541","182,828","216,253","60.1","56.2","63.9"
