"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Usual Source of Care","2010","Appalachian","0 to 17","0% or more FPL","379,355","350,249","408,460","97.9","95.9","99.9"
"Usual Source of Care","2010","Metropolitan","0 to 17","0% or more FPL","1,340,722","1,284,457","1,396,988","97.8","96.8","98.9"
"Usual Source of Care","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","340,059","313,094","367,023","99.1","98.2","100.0"
"Usual Source of Care","2010","Suburban","0 to 17","0% or more FPL","389,151","358,910","419,392","98.5","96.8","100.0"
"Usual Source of Care","2012","Appalachian","0 to 17","0% or more FPL","386,661","364,862","408,460","98.6","97.9","99.4"
"Usual Source of Care","2012","Metropolitan","0 to 17","0% or more FPL","1,370,091","1,329,609","1,410,572","99.0","98.6","99.3"
"Usual Source of Care","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","355,595","332,138","379,053","97.8","96.7","99.0"
"Usual Source of Care","2012","Suburban","0 to 17","0% or more FPL","432,154","405,555","458,753","98.9","98.2","99.6"
"Usual Source of Care","2015","Appalachian","0 to 17","0% or more FPL","432,171","417,779","446,564","99.0","98.5","99.4"
"Usual Source of Care","2015","Metropolitan","0 to 17","0% or more FPL","1,375,632","1,348,688","1,402,575","98.6","98.2","98.9"
"Usual Source of Care","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","351,436","337,618","365,253","98.7","98.1","99.3"
"Usual Source of Care","2015","Suburban","0 to 17","0% or more FPL","378,207","364,111","392,303","99.1","98.7","99.5"
"Usual Source of Care","2017","Appalachian","0 to 17","0% or more FPL","412,233","397,128","427,338","98.1","97.3","98.9"
"Usual Source of Care","2017","Metropolitan","0 to 17","0% or more FPL","1,254,127","1,228,172","1,280,082","98.2","97.8","98.6"
"Usual Source of Care","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","360,295","345,904","374,686","97.8","97.0","98.6"
"Usual Source of Care","2017","Suburban","0 to 17","0% or more FPL","425,079","406,770","443,388","98.6","98.0","99.2"
"Usual Source of Care","2019","Appalachian","0 to 17","0% or more FPL","359,778","339,808","379,747","98.4","97.7","99.1"
"Usual Source of Care","2019","Metropolitan","0 to 17","0% or more FPL","1,347,688","1,308,835","1,386,541","98.1","97.6","98.5"
"Usual Source of Care","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","341,346","315,053","367,639","98.7","98.0","99.3"
"Usual Source of Care","2019","Suburban","0 to 17","0% or more FPL","420,820","398,505","443,135","98.8","98.2","99.3"
"Usual Source of Care","2021","Appalachian","0 to 17","0% or more FPL","366,328","348,585","384,071","98.9","98.1","99.7"
"Usual Source of Care","2021","Metropolitan","0 to 17","0% or more FPL","1,382,391","1,344,907","1,419,875","98.2","97.7","98.7"
"Usual Source of Care","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","345,867","328,493","363,242","98.3","97.5","99.2"
"Usual Source of Care","2021","Suburban","0 to 17","0% or more FPL","438,786","418,820","458,751","98.4","97.7","99.1"
