"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Obese BMI","2012","Appalachian","6 to 18","0% or more FPL","63,631","53,624","73,637","22.5","19.2","25.7"
"Obese BMI","2012","Metropolitan","6 to 18","0% or more FPL","164,381","146,688","182,073","18.5","16.7","20.4"
"Obese BMI","2012","Rural Non-Appalachian","6 to 18","0% or more FPL","56,499","44,934","68,064","22.6","18.6","26.7"
"Obese BMI","2012","Suburban","6 to 18","0% or more FPL","41,209","31,781","50,636","13.4","10.5","16.3"
"Obese BMI","2015","Appalachian","6 to 18","0% or more FPL","82,383","73,837","90,929","27.3","24.7","29.8"
"Obese BMI","2015","Metropolitan","6 to 18","0% or more FPL","225,228","209,120","241,336","24.6","23.0","26.2"
"Obese BMI","2015","Rural Non-Appalachian","6 to 18","0% or more FPL","49,500","42,764","56,235","20.4","17.8","23.0"
"Obese BMI","2015","Suburban","6 to 18","0% or more FPL","51,222","44,366","58,078","19.1","16.8","21.5"
"Obese BMI","2017","Appalachian","6 to 18","0% or more FPL","73,637","64,290","82,985","25.9","23.0","28.9"
"Obese BMI","2017","Metropolitan","6 to 18","0% or more FPL","200,209","184,866","215,552","23.7","22.1","25.4"
"Obese BMI","2017","Rural Non-Appalachian","6 to 18","0% or more FPL","63,944","55,752","72,135","24.7","21.9","27.6"
"Obese BMI","2017","Suburban","6 to 18","0% or more FPL","60,789","52,021","69,557","20.2","17.6","22.8"
"Obese BMI","2019","Appalachian","6 to 18","0% or more FPL","71,757","58,081","85,432","28.4","23.7","33.1"
"Obese BMI","2019","Metropolitan","6 to 18","0% or more FPL","216,635","193,451","239,820","23.6","21.3","25.9"
"Obese BMI","2019","Rural Non-Appalachian","6 to 18","0% or more FPL","52,578","43,546","61,610","23.4","19.6","27.2"
"Obese BMI","2019","Suburban","6 to 18","0% or more FPL","67,146","56,668","77,625","22.1","19.0","25.2"
"Obese BMI","2021","Appalachian","6 to 18","0% or more FPL","74,491","64,005","84,977","28.2","24.5","31.8"
"Obese BMI","2021","Metropolitan","6 to 18","0% or more FPL","224,794","202,460","247,129","22.6","20.6","24.7"
"Obese BMI","2021","Rural Non-Appalachian","6 to 18","0% or more FPL","67,342","56,375","78,309","27.0","23.1","31.0"
"Obese BMI","2021","Suburban","6 to 18","0% or more FPL","63,466","52,466","74,467","19.1","16.0","22.2"
