"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Other","2010","Appalachian","0 to 17","0% or more FPL","50,795","34,890","66,700","12.2","8.5","16.0"
"Other","2010","Metropolitan","0 to 17","0% or more FPL","186,544","154,588","218,500","12.2","10.1","14.2"
"Other","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","40,666","27,398","53,935","11.1","7.5","14.6"
"Other","2010","Suburban","0 to 17","0% or more FPL","54,490","36,514","72,466","12.4","8.5","16.3"
"Other","2012","Appalachian","0 to 17","0% or more FPL","28,124","21,594","34,653","6.7","5.1","8.2"
"Other","2012","Metropolitan","0 to 17","0% or more FPL","103,196","89,469","116,922","6.9","6.0","7.9"
"Other","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","30,894","23,072","38,716","8.1","6.1","10.0"
"Other","2012","Suburban","0 to 17","0% or more FPL","37,132","28,466","45,797","8.0","6.2","9.9"
"Other","2015","Appalachian","0 to 17","0% or more FPL","18,558","14,290","22,826","4.3","3.3","5.2"
"Other","2015","Metropolitan","0 to 17","0% or more FPL","53,928","45,282","62,573","3.9","3.2","4.5"
"Other","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","18,262","14,667","21,858","5.2","4.2","6.3"
"Other","2015","Suburban","0 to 17","0% or more FPL","21,861","17,684","26,037","5.7","4.6","6.8"
"Other","2017","Appalachian","0 to 17","0% or more FPL","30,730","24,880","36,580","6.9","5.6","8.2"
"Other","2017","Metropolitan","0 to 17","0% or more FPL","78,630","69,267","87,993","5.9","5.2","6.6"
"Other","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","23,405","18,944","27,865","6.1","4.9","7.2"
"Other","2017","Suburban","0 to 17","0% or more FPL","36,011","29,687","42,334","8.0","6.6","9.4"
"Other","2019","Appalachian","0 to 17","0% or more FPL","23,456","18,681","28,230","6.0","4.8","7.3"
"Other","2019","Metropolitan","0 to 17","0% or more FPL","84,951","68,857","101,045","6.0","4.9","7.1"
"Other","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","27,032","20,318","33,746","7.5","5.6","9.4"
"Other","2019","Suburban","0 to 17","0% or more FPL","39,409","30,471","48,346","8.8","6.9","10.7"
"Other","2021","Appalachian","0 to 17","0% or more FPL","23,055","13,765","32,346","6.1","3.7","8.4"
"Other","2021","Metropolitan","0 to 17","0% or more FPL","78,980","67,235","90,726","5.5","4.7","6.3"
"Other","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","20,873","15,182","26,564","5.9","4.3","7.5"
"Other","2021","Suburban","0 to 17","0% or more FPL","34,131","26,447","41,815","7.6","5.9","9.3"
