"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Employer-Sponsored","2010","Appalachian","0 to 17","0% or more FPL","164,146","141,551","186,740","39.5","34.0","45.0"
"Employer-Sponsored","2010","Metropolitan","0 to 17","0% or more FPL","668,310","620,848","715,772","43.7","40.6","46.8"
"Employer-Sponsored","2010","Rural Non-Appalachian","0 to 17","0% or more FPL","204,628","180,592","228,664","55.8","49.8","61.7"
"Employer-Sponsored","2010","Suburban","0 to 17","0% or more FPL","234,814","209,580","260,049","53.5","47.8","59.2"
"Employer-Sponsored","2012","Appalachian","0 to 17","0% or more FPL","148,329","135,009","161,648","35.1","32.1","38.1"
"Employer-Sponsored","2012","Metropolitan","0 to 17","0% or more FPL","671,109","640,673","701,545","45.2","43.3","47.0"
"Employer-Sponsored","2012","Rural Non-Appalachian","0 to 17","0% or more FPL","182,371","165,881","198,860","47.6","43.8","51.4"
"Employer-Sponsored","2012","Suburban","0 to 17","0% or more FPL","266,560","245,212","287,909","57.7","54.1","61.2"
"Employer-Sponsored","2015","Appalachian","0 to 17","0% or more FPL","196,322","184,047","208,597","45.0","42.6","47.4"
"Employer-Sponsored","2015","Metropolitan","0 to 17","0% or more FPL","614,476","593,228","635,724","44.0","42.5","45.5"
"Employer-Sponsored","2015","Rural Non-Appalachian","0 to 17","0% or more FPL","191,224","179,680","202,768","54.9","52.3","57.5"
"Employer-Sponsored","2015","Suburban","0 to 17","0% or more FPL","224,319","212,173","236,464","58.4","56.0","60.8"
"Employer-Sponsored","2017","Appalachian","0 to 17","0% or more FPL","158,170","147,221","169,120","35.6","33.2","38.0"
"Employer-Sponsored","2017","Metropolitan","0 to 17","0% or more FPL","590,838","569,305","612,371","44.1","42.5","45.6"
"Employer-Sponsored","2017","Rural Non-Appalachian","0 to 17","0% or more FPL","181,968","170,219","193,718","47.3","44.6","50.0"
"Employer-Sponsored","2017","Suburban","0 to 17","0% or more FPL","231,383","217,077","245,689","51.4","48.8","54.0"
"Employer-Sponsored","2019","Appalachian","0 to 17","0% or more FPL","139,837","123,887","155,786","36.0","32.5","39.5"
"Employer-Sponsored","2019","Metropolitan","0 to 17","0% or more FPL","620,891","589,573","652,208","43.5","41.6","45.4"
"Employer-Sponsored","2019","Rural Non-Appalachian","0 to 17","0% or more FPL","166,710","148,403","185,017","46.4","42.1","50.7"
"Employer-Sponsored","2019","Suburban","0 to 17","0% or more FPL","258,362","240,589","276,135","57.8","54.7","61.0"
"Employer-Sponsored","2021","Appalachian","0 to 17","0% or more FPL","124,768","113,513","136,023","32.8","29.7","35.9"
"Employer-Sponsored","2021","Metropolitan","0 to 17","0% or more FPL","612,795","587,196","638,394","42.7","40.9","44.5"
"Employer-Sponsored","2021","Rural Non-Appalachian","0 to 17","0% or more FPL","165,141","152,848","177,433","46.3","42.7","50.0"
"Employer-Sponsored","2021","Suburban","0 to 17","0% or more FPL","248,542","232,079","265,004","55.2","51.8","58.7"
