"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Potentially Disabling Mental Health Condition","2012","Appalachian","19 Years and Older","0% or more FPL","103,412","89,937","116,887","7.6","6.6","8.6"
"Potentially Disabling Mental Health Condition","2012","Metropolitan","19 Years and Older","0% or more FPL","276,136","252,213","300,059","5.8","5.4","6.3"
"Potentially Disabling Mental Health Condition","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","52,687","42,202","63,172","4.6","3.7","5.5"
"Potentially Disabling Mental Health Condition","2012","Suburban","19 Years and Older","0% or more FPL","62,693","51,285","74,101","4.4","3.6","5.2"
"Potentially Disabling Mental Health Condition","2015","Appalachian","19 Years and Older","0% or more FPL","71,747","64,083","79,410","4.9","4.4","5.4"
"Potentially Disabling Mental Health Condition","2015","Metropolitan","19 Years and Older","0% or more FPL","206,450","191,705","221,195","4.3","4.0","4.6"
"Potentially Disabling Mental Health Condition","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","40,648","34,910","46,387","3.5","3.0","4.0"
"Potentially Disabling Mental Health Condition","2015","Suburban","19 Years and Older","0% or more FPL","44,116","38,278","49,953","3.2","2.8","3.7"
"Potentially Disabling Mental Health Condition","2017","Appalachian","19 Years and Older","0% or more FPL","77,639","69,079","86,199","5.4","4.8","6.0"
"Potentially Disabling Mental Health Condition","2017","Metropolitan","19 Years and Older","0% or more FPL","224,404","208,396","240,412","4.6","4.3","5.0"
"Potentially Disabling Mental Health Condition","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","54,399","47,587","61,210","4.5","4.0","5.1"
"Potentially Disabling Mental Health Condition","2017","Suburban","19 Years and Older","0% or more FPL","58,535","50,546","66,525","4.2","3.6","4.8"
"Potentially Disabling Mental Health Condition","2019","Appalachian","19 Years and Older","0% or more FPL","73,595","63,852","83,337","5.4","4.7","6.1"
"Potentially Disabling Mental Health Condition","2019","Metropolitan","19 Years and Older","0% or more FPL","259,483","236,465","282,502","5.3","4.8","5.8"
"Potentially Disabling Mental Health Condition","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","65,898","43,096","88,700","5.6","3.8","7.5"
"Potentially Disabling Mental Health Condition","2019","Suburban","19 Years and Older","0% or more FPL","63,061","53,994","72,127","4.2","3.6","4.8"
"Potentially Disabling Mental Health Condition","2021","Appalachian","19 Years and Older","0% or more FPL","87,077","76,036","98,117","6.4","5.6","7.2"
"Potentially Disabling Mental Health Condition","2021","Metropolitan","19 Years and Older","0% or more FPL","278,164","256,899","299,428","5.7","5.3","6.1"
"Potentially Disabling Mental Health Condition","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","51,200","42,211","60,190","4.4","3.6","5.2"
"Potentially Disabling Mental Health Condition","2021","Suburban","19 Years and Older","0% or more FPL","77,300","64,164","90,436","5.1","4.2","5.9"
