"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","19 Years and Older","0% or more FPL","1,034,991","1,006,680","1,063,302","79.9","78.5","81.2"
"Did not need care","2021","Metropolitan","19 Years and Older","0% or more FPL","3,565,882","3,507,026","3,624,738","78.1","77.3","78.8"
"Did not need care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","905,083","877,748","932,418","82.1","80.6","83.6"
"Did not need care","2021","Suburban","19 Years and Older","0% or more FPL","1,178,570","1,140,657","1,216,484","82.1","80.7","83.5"
"Received needed care","2021","Appalachian","19 Years and Older","0% or more FPL","172,749","156,749","188,750","13.3","12.2","14.5"
"Received needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","628,413","598,113","658,713","13.8","13.1","14.4"
"Received needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","122,883","109,086","136,681","11.1","9.9","12.3"
"Received needed care","2021","Suburban","19 Years and Older","0% or more FPL","163,277","146,807","179,748","11.4","10.3","12.5"
"Did not receive needed care","2021","Appalachian","19 Years and Older","0% or more FPL","88,390","76,783","99,998","6.8","5.9","7.7"
"Did not receive needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","374,131","347,322","400,941","8.2","7.6","8.8"
"Did not receive needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","74,779","63,421","86,138","6.8","5.8","7.8"
"Did not receive needed care","2021","Suburban","19 Years and Older","0% or more FPL","93,719","80,966","106,472","6.5","5.7","7.4"
