"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Has a Developmental Disability","2015","Appalachian","19 Years and Older","0% or more FPL","62,477","55,051","69,903","4.4","3.9","4.9"
"Has a Developmental Disability","2015","Metropolitan","19 Years and Older","0% or more FPL","203,388","188,707","218,069","4.4","4.1","4.7"
"Has a Developmental Disability","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","36,619","31,101","42,137","3.3","2.8","3.8"
"Has a Developmental Disability","2015","Suburban","19 Years and Older","0% or more FPL","52,105","44,958","59,252","3.9","3.4","4.5"
"Has a Developmental Disability","2017","Appalachian","19 Years and Older","0% or more FPL","88,810","79,125","98,495","6.4","5.7","7.1"
"Has a Developmental Disability","2017","Metropolitan","19 Years and Older","0% or more FPL","258,769","241,977","275,562","5.5","5.2","5.9"
"Has a Developmental Disability","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","52,414","46,204","58,624","4.5","4.0","5.0"
"Has a Developmental Disability","2017","Suburban","19 Years and Older","0% or more FPL","61,089","52,394","69,785","4.5","3.9","5.2"
"Has a Developmental Disability","2019","Appalachian","19 Years and Older","0% or more FPL","68,460","58,874","78,047","5.1","4.4","5.8"
"Has a Developmental Disability","2019","Metropolitan","19 Years and Older","0% or more FPL","238,013","212,834","263,193","5.0","4.5","5.6"
"Has a Developmental Disability","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","40,920","34,708","47,132","3.6","3.1","4.2"
"Has a Developmental Disability","2019","Suburban","19 Years and Older","0% or more FPL","57,389","45,479","69,299","3.9","3.1","4.7"
"Has a Developmental Disability","2021","Appalachian","19 Years and Older","0% or more FPL","60,662","48,805","72,519","4.5","3.6","5.3"
"Has a Developmental Disability","2021","Metropolitan","19 Years and Older","0% or more FPL","246,826","220,457","273,196","5.1","4.5","5.6"
"Has a Developmental Disability","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","42,226","30,741","53,712","3.6","2.7","4.6"
"Has a Developmental Disability","2021","Suburban","19 Years and Older","0% or more FPL","59,929","46,126","73,732","4.0","3.1","4.8"
