"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Underweight","2010","Appalachian","19 Years and Older","0% or more FPL","18,720","10,045","27,395","1.4","0.8","2.1"
"Underweight","2010","Metropolitan","19 Years and Older","0% or more FPL","72,378","53,844","90,912","1.6","1.2","2.0"
"Underweight","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","20,297","10,945","29,648","1.8","1.0","2.7"
"Underweight","2010","Suburban","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Healthy","2010","Appalachian","19 Years and Older","0% or more FPL","429,578","390,707","468,449","32.6","29.9","35.3"
"Healthy","2010","Metropolitan","19 Years and Older","0% or more FPL","1,487,475","1,413,475","1,561,475","32.6","31.1","34.1"
"Healthy","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","322,346","290,028","354,665","29.2","26.5","31.9"
"Healthy","2010","Suburban","19 Years and Older","0% or more FPL","466,314","425,996","506,632","34.3","31.7","36.9"
"Overweight","2010","Appalachian","19 Years and Older","0% or more FPL","466,409","427,614","505,205","35.4","32.7","38.1"
"Overweight","2010","Metropolitan","19 Years and Older","0% or more FPL","1,541,717","1,468,197","1,615,238","33.8","32.3","35.3"
"Overweight","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","394,056","360,673","427,439","35.7","32.9","38.5"
"Overweight","2010","Suburban","19 Years and Older","0% or more FPL","459,922","422,601","497,244","33.8","31.3","36.4"
"Obese","2010","Appalachian","19 Years and Older","0% or more FPL","402,930","367,198","438,661","30.6","28.0","33.1"
"Obese","2010","Metropolitan","19 Years and Older","0% or more FPL","1,461,981","1,389,601","1,534,361","32.0","30.6","33.5"
"Obese","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","367,596","334,902","400,289","33.3","30.6","36.0"
"Obese","2010","Suburban","19 Years and Older","0% or more FPL","419,361","383,696","455,026","30.8","28.4","33.3"
"Underweight","2012","Appalachian","19 Years and Older","0% or more FPL","21,573","15,243","27,903","1.6","1.2","2.1"
"Underweight","2012","Metropolitan","19 Years and Older","0% or more FPL","85,625","71,321","99,929","1.9","1.6","2.2"
"Underweight","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","18,058","11,970","24,147","1.6","1.1","2.2"
"Underweight","2012","Suburban","19 Years and Older","0% or more FPL","24,924","17,038","32,811","1.8","1.2","2.4"
"Healthy","2012","Appalachian","19 Years and Older","0% or more FPL","400,572","373,721","427,423","30.5","28.7","32.2"
"Healthy","2012","Metropolitan","19 Years and Older","0% or more FPL","1,462,347","1,410,034","1,514,659","32.2","31.2","33.2"
"Healthy","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","299,454","275,929","322,980","27.2","25.4","29.1"
"Healthy","2012","Suburban","19 Years and Older","0% or more FPL","418,981","389,712","448,250","30.3","28.4","32.1"
"Overweight","2012","Appalachian","19 Years and Older","0% or more FPL","428,099","402,962","453,237","32.6","30.9","34.2"
"Overweight","2012","Metropolitan","19 Years and Older","0% or more FPL","1,564,525","1,512,768","1,616,283","34.4","33.4","35.4"
"Overweight","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","420,175","392,978","447,371","38.2","36.2","40.3"
"Overweight","2012","Suburban","19 Years and Older","0% or more FPL","475,982","445,955","506,009","34.4","32.5","36.3"
"Obese","2012","Appalachian","19 Years and Older","0% or more FPL","464,912","438,505","491,319","35.4","33.6","37.1"
"Obese","2012","Metropolitan","19 Years and Older","0% or more FPL","1,434,516","1,385,733","1,483,298","31.5","30.6","32.5"
"Obese","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","361,755","336,619","386,892","32.9","30.9","34.9"
"Obese","2012","Suburban","19 Years and Older","0% or more FPL","464,167","434,383","493,952","33.5","31.7","35.4"
"Underweight","2015","Appalachian","19 Years and Older","0% or more FPL","21,451","17,303","25,599","1.6","1.3","1.9"
"Underweight","2015","Metropolitan","19 Years and Older","0% or more FPL","82,749","73,256","92,243","1.8","1.6","2.0"
"Underweight","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","18,554","14,564","22,543","1.7","1.3","2.1"
"Underweight","2015","Suburban","19 Years and Older","0% or more FPL","17,769","13,627","21,910","1.4","1.1","1.7"
"Healthy","2015","Appalachian","19 Years and Older","0% or more FPL","378,416","360,936","395,897","27.4","26.2","28.5"
"Healthy","2015","Metropolitan","19 Years and Older","0% or more FPL","1,375,489","1,340,429","1,410,550","30.6","29.9","31.3"
"Healthy","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","304,174","288,650","319,698","28.0","26.7","29.3"
"Healthy","2015","Suburban","19 Years and Older","0% or more FPL","363,907","347,114","380,700","28.7","27.6","29.9"
"Overweight","2015","Appalachian","19 Years and Older","0% or more FPL","466,998","448,235","485,761","33.8","32.6","35.0"
