"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Any Preganancy (Past 12 Months)","2012","Appalachian","19 to 44","0% or more FPL","41,922","32,433","51,411","13.3","10.5","16.1"
"Any Preganancy (Past 12 Months)","2012","Metropolitan","19 to 44","0% or more FPL","154,666","134,558","174,773","14.4","12.6","16.1"
"Any Preganancy (Past 12 Months)","2012","Rural Non-Appalachian","19 to 44","0% or more FPL","28,071","20,240","35,902","11.8","8.7","14.9"
"Any Preganancy (Past 12 Months)","2012","Suburban","19 to 44","0% or more FPL","28,458","19,799","37,117","9.9","7.0","12.7"
"Any Preganancy (Past 12 Months)","2015","Appalachian","19 to 44","0% or more FPL","30,246","24,603","35,889","10.6","8.7","12.4"
"Any Preganancy (Past 12 Months)","2015","Metropolitan","19 to 44","0% or more FPL","134,411","121,877","146,945","13.0","11.9","14.2"
"Any Preganancy (Past 12 Months)","2015","Rural Non-Appalachian","19 to 44","0% or more FPL","27,454","22,624","32,284","13.1","10.9","15.2"
"Any Preganancy (Past 12 Months)","2015","Suburban","19 to 44","0% or more FPL","30,892","25,270","36,515","10.9","9.1","12.8"
"Any Preganancy (Past 12 Months)","2017","Appalachian","19 to 44","0% or more FPL","22,583","17,604","27,561","8.4","6.6","10.2"
"Any Preganancy (Past 12 Months)","2017","Metropolitan","19 to 44","0% or more FPL","116,821","104,675","128,967","10.9","9.8","11.9"
"Any Preganancy (Past 12 Months)","2017","Rural Non-Appalachian","19 to 44","0% or more FPL","18,453","14,551","22,354","9.2","7.4","11.1"
"Any Preganancy (Past 12 Months)","2017","Suburban","19 to 44","0% or more FPL","27,398","21,667","33,130","11.0","8.8","13.1"
"Any Preganancy (Past 12 Months)","2019","Appalachian","19 to 44","0% or more FPL","29,001","22,645","35,357","10.8","8.4","13.1"
"Any Preganancy (Past 12 Months)","2019","Metropolitan","19 to 44","0% or more FPL","111,355","98,542","124,168","10.7","9.5","11.9"
"Any Preganancy (Past 12 Months)","2019","Rural Non-Appalachian","19 to 44","0% or more FPL","24,136","18,275","29,997","10.6","8.1","13.1"
"Any Preganancy (Past 12 Months)","2019","Suburban","19 to 44","0% or more FPL","37,880","29,868","45,893","13.5","10.8","16.2"
"Any Preganancy (Past 12 Months)","2021","Appalachian","19 to 44","0% or more FPL","40,305","32,274","48,336","14.6","11.9","17.3"
"Any Preganancy (Past 12 Months)","2021","Metropolitan","19 to 44","0% or more FPL","130,117","117,292","142,942","12.8","11.6","14.0"
"Any Preganancy (Past 12 Months)","2021","Rural Non-Appalachian","19 to 44","0% or more FPL","32,206","25,405","39,007","13.4","10.7","16.0"
"Any Preganancy (Past 12 Months)","2021","Suburban","19 to 44","0% or more FPL","32,234","25,063","39,405","11.8","9.3","14.3"
