"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"No Doctor's Visit (Past 12 Months)","2010","Appalachian","19 Years and Older","0% or more FPL","173,596","144,881","202,312","12.8","10.8","14.9"
"No Doctor's Visit (Past 12 Months)","2010","Metropolitan","19 Years and Older","0% or more FPL","511,202","459,360","563,045","10.9","9.9","12.0"
"No Doctor's Visit (Past 12 Months)","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","138,562","114,572","162,551","12.2","10.1","14.2"
"No Doctor's Visit (Past 12 Months)","2010","Suburban","19 Years and Older","0% or more FPL","122,408","99,654","145,162","8.8","7.2","10.4"
"No Doctor's Visit (Past 12 Months)","2012","Appalachian","19 Years and Older","0% or more FPL","157,088","138,441","175,735","11.8","10.5","13.1"
"No Doctor's Visit (Past 12 Months)","2012","Metropolitan","19 Years and Older","0% or more FPL","520,048","483,643","556,454","11.2","10.5","12.0"
"No Doctor's Visit (Past 12 Months)","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","133,098","115,272","150,924","11.9","10.4","13.4"
"No Doctor's Visit (Past 12 Months)","2012","Suburban","19 Years and Older","0% or more FPL","125,967","108,096","143,837","9.0","7.8","10.2"
"No Doctor's Visit (Past 12 Months)","2015","Appalachian","19 Years and Older","0% or more FPL","141,690","130,094","153,287","10.0","9.2","10.8"
"No Doctor's Visit (Past 12 Months)","2015","Metropolitan","19 Years and Older","0% or more FPL","437,659","416,270","459,047","9.5","9.0","9.9"
"No Doctor's Visit (Past 12 Months)","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","112,232","102,274","122,189","10.1","9.2","10.9"
"No Doctor's Visit (Past 12 Months)","2015","Suburban","19 Years and Older","0% or more FPL","126,566","115,889","137,243","9.6","8.8","10.4"
"No Doctor's Visit (Past 12 Months)","2017","Appalachian","19 Years and Older","0% or more FPL","219,500","204,577","234,423","16.0","15.0","17.1"
"No Doctor's Visit (Past 12 Months)","2017","Metropolitan","19 Years and Older","0% or more FPL","711,350","683,671","739,029","15.5","14.9","16.1"
"No Doctor's Visit (Past 12 Months)","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","176,812","164,677","188,947","15.4","14.4","16.4"
"No Doctor's Visit (Past 12 Months)","2017","Suburban","19 Years and Older","0% or more FPL","215,378","200,058","230,698","16.2","15.1","17.3"
"No Doctor's Visit (Past 12 Months)","2019","Appalachian","19 Years and Older","0% or more FPL","196,615","179,794","213,437","14.9","13.7","16.2"
"No Doctor's Visit (Past 12 Months)","2019","Metropolitan","19 Years and Older","0% or more FPL","722,385","685,236","759,534","15.6","14.8","16.3"
"No Doctor's Visit (Past 12 Months)","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","161,906","147,595","176,218","14.5","13.2","15.7"
"No Doctor's Visit (Past 12 Months)","2019","Suburban","19 Years and Older","0% or more FPL","213,193","194,215","232,170","14.7","13.5","15.9"
"No Doctor's Visit (Past 12 Months)","2021","Appalachian","19 Years and Older","0% or more FPL","250,592","229,142","272,043","19.3","17.8","20.7"
"No Doctor's Visit (Past 12 Months)","2021","Metropolitan","19 Years and Older","0% or more FPL","877,243","836,386","918,101","19.0","18.2","19.8"
"No Doctor's Visit (Past 12 Months)","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","219,160","196,013","242,307","19.7","17.9","21.5"
"No Doctor's Visit (Past 12 Months)","2021","Suburban","19 Years and Older","0% or more FPL","261,075","230,870","291,279","18.0","16.2","19.8"
