"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Insured","2019","Appalachian","19 Years and Older","0% or more FPL","1,264,648","1,227,533","1,301,764","92.2","91.3","93.0"
"Insured","2019","Metropolitan","19 Years and Older","0% or more FPL","4,400,665","4,334,514","4,466,815","89.9","89.3","90.5"
"Insured","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,074,742","1,036,071","1,113,413","92.0","91.0","93.0"
"Insured","2019","Suburban","19 Years and Older","0% or more FPL","1,394,460","1,356,034","1,432,886","92.6","91.7","93.5"
"Uninsured","2019","Appalachian","19 Years and Older","0% or more FPL","107,560","95,979","119,140","7.8","7.0","8.7"
"Uninsured","2019","Metropolitan","19 Years and Older","0% or more FPL","492,774","462,054","523,495","10.1","9.5","10.7"
"Uninsured","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","93,236","81,111","105,362","8.0","7.0","9.0"
"Uninsured","2019","Suburban","19 Years and Older","0% or more FPL","111,256","97,794","124,718","7.4","6.5","8.3"
"Insured","2021","Appalachian","19 Years and Older","0% or more FPL","1,254,358","1,225,547","1,283,169","92.3","91.3","93.3"
"Insured","2021","Metropolitan","19 Years and Older","0% or more FPL","4,569,212","4,508,898","4,629,526","93.6","93.1","94.1"
"Insured","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,100,073","1,072,421","1,127,725","94.4","93.2","95.5"
"Insured","2021","Suburban","19 Years and Older","0% or more FPL","1,427,524","1,391,124","1,463,925","94.1","92.9","95.3"
"Uninsured","2021","Appalachian","19 Years and Older","0% or more FPL","104,435","90,176","118,694","7.7","6.7","8.7"
"Uninsured","2021","Metropolitan","19 Years and Older","0% or more FPL","312,507","285,022","339,991","6.4","5.9","6.9"
"Uninsured","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","65,556","51,596","79,516","5.6","4.5","6.8"
"Uninsured","2021","Suburban","19 Years and Older","0% or more FPL","89,388","70,963","107,812","5.9","4.7","7.1"
