"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"0-75% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","202,979","173,593","232,366","14.9","12.8","16.9"
"0-75% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","827,113","765,940","888,286","17.4","16.2","18.7"
"0-75% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","144,372","120,402","168,342","12.5","10.5","14.5"
"0-75% FPL","2010","Suburban","19 Years and Older","0% or more FPL","170,102","142,166","198,039","12.1","10.2","14.0"
"75-100% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","134,874","111,235","158,514","9.9","8.2","11.6"
"75-100% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","309,574","272,297","346,851","6.5","5.8","7.3"
"75-100% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","83,005","65,483","100,528","7.2","5.7","8.7"
"75-100% FPL","2010","Suburban","19 Years and Older","0% or more FPL","73,947","56,463","91,431","5.2","4.0","6.5"
"100-138% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","165,993","139,987","192,000","12.1","10.3","14.0"
"100-138% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","417,829","375,069","460,588","8.8","7.9","9.7"
"100-138% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","115,294","95,550","135,038","10.0","8.3","11.7"
"100-138% FPL","2010","Suburban","19 Years and Older","0% or more FPL","120,936","98,257","143,615","8.6","7.0","10.2"
"138-206% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","209,626","181,552","237,699","15.3","13.3","17.3"
"138-206% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","608,360","557,833","658,887","12.8","11.8","13.9"
"138-206% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","170,517","145,926","195,109","14.8","12.7","16.9"
"138-206% FPL","2010","Suburban","19 Years and Older","0% or more FPL","198,635","170,984","226,286","14.1","12.2","16.0"
"206-250% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","107,795","87,620","127,970","7.9","6.4","9.3"
"206-250% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","336,014","297,559","374,469","7.1","6.3","7.9"
"206-250% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","76,137","60,142","92,133","6.6","5.2","8.0"
"206-250% FPL","2010","Suburban","19 Years and Older","0% or more FPL","97,619","78,278","116,961","6.9","5.6","8.3"
"250-400% FPL","2010","Appalachian","19 Years and Older","0% or more FPL","238,840","210,051","267,630","17.5","15.4","19.5"
"250-400% FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","864,176","805,975","922,377","18.2","17.0","19.4"
"250-400% FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","255,814","227,072","284,555","22.2","19.8","24.6"
"250-400% FPL","2010","Suburban","19 Years and Older","0% or more FPL","274,972","243,692","306,252","19.5","17.4","21.6"
"400% or more FPL","2010","Appalachian","19 Years and Older","0% or more FPL","306,693","275,063","338,322","22.4","20.2","24.7"
"400% or more FPL","2010","Metropolitan","19 Years and Older","0% or more FPL","1,379,401","1,312,183","1,446,619","29.1","27.7","30.5"
"400% or more FPL","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","307,249","277,927","336,570","26.7","24.2","29.1"
"400% or more FPL","2010","Suburban","19 Years and Older","0% or more FPL","472,771","437,341","508,201","33.6","31.1","36.0"
"0-75% FPL","2012","Appalachian","19 Years and Older","0% or more FPL","245,943","224,081","267,806","18.1","16.6","19.6"
"0-75% FPL","2012","Metropolitan","19 Years and Older","0% or more FPL","891,818","848,606","935,031","18.9","18.0","19.7"
"0-75% FPL","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","151,965","133,999","169,930","13.4","11.9","14.9"
"0-75% FPL","2012","Suburban","19 Years and Older","0% or more FPL","170,576","150,577","190,574","12.0","10.7","13.3"
"75-100% FPL","2012","Appalachian","19 Years and Older","0% or more FPL","95,927","83,459","108,394","7.1","6.2","8.0"
