"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Problems Paying Medical Bills","2017","Appalachian","19 Years and Older","0% or more FPL","353,434","334,481","372,386","26.4","25.1","27.7"
"Problems Paying Medical Bills","2017","Metropolitan","19 Years and Older","0% or more FPL","1,114,991","1,081,240","1,148,742","24.9","24.2","25.6"
"Problems Paying Medical Bills","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","268,117","252,691","283,543","23.8","22.5","25.0"
"Problems Paying Medical Bills","2017","Suburban","19 Years and Older","0% or more FPL","309,030","291,473","326,587","23.7","22.5","25.0"
"Problems Paying Medical Bills","2019","Appalachian","19 Years and Older","0% or more FPL","326,072","302,297","349,847","25.1","23.5","26.8"
"Problems Paying Medical Bills","2019","Metropolitan","19 Years and Older","0% or more FPL","1,189,637","1,144,447","1,234,828","26.1","25.2","27.0"
"Problems Paying Medical Bills","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","266,813","238,001","295,624","24.1","21.8","26.3"
"Problems Paying Medical Bills","2019","Suburban","19 Years and Older","0% or more FPL","328,149","304,190","352,108","23.0","21.5","24.5"
"Problems Paying Medical Bills","2021","Appalachian","19 Years and Older","0% or more FPL","287,760","267,263","308,257","22.3","20.9","23.8"
"Problems Paying Medical Bills","2021","Metropolitan","19 Years and Older","0% or more FPL","940,711","902,325","979,096","20.7","19.9","21.5"
"Problems Paying Medical Bills","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","218,732","200,250","237,214","20.0","18.4","21.6"
"Problems Paying Medical Bills","2021","Suburban","19 Years and Older","0% or more FPL","269,966","248,259","291,673","18.9","17.5","20.4"
