"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Married","2010","Appalachian","19 Years and Older","0% or more FPL","797,294","752,112","842,477","58.4","55.7","61.2"
"Married","2010","Metropolitan","19 Years and Older","0% or more FPL","2,338,512","2,253,781","2,423,242","49.6","48.1","51.2"
"Married","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","714,507","675,966","753,048","62.2","59.4","65.0"
"Married","2010","Suburban","19 Years and Older","0% or more FPL","864,097","820,771","907,423","61.4","58.8","64.1"
"Divorced or Separated","2010","Appalachian","19 Years and Older","0% or more FPL","206,359","181,473","231,244","15.1","13.3","17.0"
"Divorced or Separated","2010","Metropolitan","19 Years and Older","0% or more FPL","706,866","657,506","756,227","15.0","14.0","16.0"
"Divorced or Separated","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","139,161","118,401","159,920","12.1","10.3","13.9"
"Divorced or Separated","2010","Suburban","19 Years and Older","0% or more FPL","158,836","136,335","181,336","11.3","9.7","12.9"
"Widowed","2010","Appalachian","19 Years and Older","0% or more FPL","113,542","96,945","130,139","8.3","7.1","9.6"
"Widowed","2010","Metropolitan","19 Years and Older","0% or more FPL","400,606","368,442","432,770","8.5","7.8","9.2"
"Widowed","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","71,384","61,165","81,602","6.2","5.3","7.2"
"Widowed","2010","Suburban","19 Years and Older","0% or more FPL","94,407","79,561","109,253","6.7","5.6","7.8"
"Never Married","2010","Appalachian","19 Years and Older","0% or more FPL","186,881","155,864","217,898","13.7","11.6","15.8"
"Never Married","2010","Metropolitan","19 Years and Older","0% or more FPL","1,068,543","998,349","1,138,738","22.7","21.3","24.1"
"Never Married","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","184,125","154,156","214,095","16.0","13.6","18.5"
"Never Married","2010","Suburban","19 Years and Older","0% or more FPL","236,673","200,987","272,359","16.8","14.5","19.2"
"Unmarried Couple","2010","Appalachian","19 Years and Older","0% or more FPL","60,093","41,900","78,285","4.4","3.1","5.7"
"Unmarried Couple","2010","Metropolitan","19 Years and Older","0% or more FPL","196,804","163,754","229,855","4.2","3.5","4.9"
"Unmarried Couple","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","38,927","25,655","52,200","3.4","2.2","4.5"
"Unmarried Couple","2010","Suburban","19 Years and Older","0% or more FPL","52,174","36,085","68,263","3.7","2.6","4.8"
"Married","2012","Appalachian","19 Years and Older","0% or more FPL","744,591","713,606","775,575","55.3","53.5","57.1"
"Married","2012","Metropolitan","19 Years and Older","0% or more FPL","2,221,401","2,164,358","2,278,444","47.3","46.3","48.4"
"Married","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","674,461","643,200","705,722","59.6","57.5","61.6"
"Married","2012","Suburban","19 Years and Older","0% or more FPL","878,567","840,551","916,583","62.1","60.2","64.1"
"Divorced or Separated","2012","Appalachian","19 Years and Older","0% or more FPL","192,071","175,702","208,439","14.3","13.1","15.4"
