"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Medicare (no Medicaid)","2010","Appalachian","19 Years and Older","0% or more FPL","283,377","257,505","309,249","20.7","18.8","22.7"
"Medicare (no Medicaid)","2010","Metropolitan","19 Years and Older","0% or more FPL","895,169","847,257","943,080","18.9","17.8","19.9"
"Medicare (no Medicaid)","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","218,474","198,327","238,621","19.0","17.1","20.8"
"Medicare (no Medicaid)","2010","Suburban","19 Years and Older","0% or more FPL","251,029","228,969","273,089","17.8","16.1","19.5"
"Medicare (no Medicaid)","2012","Appalachian","19 Years and Older","0% or more FPL","248,523","235,396","261,650","18.3","17.2","19.3"
"Medicare (no Medicaid)","2012","Metropolitan","19 Years and Older","0% or more FPL","878,915","850,346","907,484","18.6","18.0","19.3"
"Medicare (no Medicaid)","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","224,477","210,108","238,845","19.7","18.4","21.1"
"Medicare (no Medicaid)","2012","Suburban","19 Years and Older","0% or more FPL","285,939","268,856","303,021","20.1","18.9","21.4"
"Medicare (no Medicaid)","2015","Appalachian","19 Years and Older","0% or more FPL","325,433","311,116","339,750","22.1","21.1","23.0"
"Medicare (no Medicaid)","2015","Metropolitan","19 Years and Older","0% or more FPL","958,215","933,769","982,662","19.9","19.4","20.4"
"Medicare (no Medicaid)","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","269,477","257,413","281,541","23.3","22.3","24.3"
"Medicare (no Medicaid)","2015","Suburban","19 Years and Older","0% or more FPL","295,863","283,210","308,517","21.6","20.7","22.6"
"Medicare (no Medicaid)","2017","Appalachian","19 Years and Older","0% or more FPL","340,375","324,849","355,900","23.7","22.6","24.8"
"Medicare (no Medicaid)","2017","Metropolitan","19 Years and Older","0% or more FPL","973,597","944,641","1,002,553","20.1","19.5","20.7"
"Medicare (no Medicaid)","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","310,022","295,606","324,439","25.9","24.7","27.0"
"Medicare (no Medicaid)","2017","Suburban","19 Years and Older","0% or more FPL","334,975","320,397","349,554","24.1","23.1","25.2"
"Medicare (no Medicaid)","2019","Appalachian","19 Years and Older","0% or more FPL","360,920","340,961","380,880","26.3","24.8","27.8"
"Medicare (no Medicaid)","2019","Metropolitan","19 Years and Older","0% or more FPL","1,045,231","1,007,589","1,082,872","21.4","20.6","22.1"
"Medicare (no Medicaid)","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","293,064","275,330","310,799","25.1","23.5","26.7"
"Medicare (no Medicaid)","2019","Suburban","19 Years and Older","0% or more FPL","360,473","341,433","379,514","23.9","22.7","25.2"
"Medicare (no Medicaid)","2021","Appalachian","19 Years and Older","0% or more FPL","306,248","292,201","320,295","22.5","21.4","23.7"
"Medicare (no Medicaid)","2021","Metropolitan","19 Years and Older","0% or more FPL","958,582","931,388","985,775","19.6","19.0","20.2"
"Medicare (no Medicaid)","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","262,612","249,973","275,252","22.5","21.3","23.8"
"Medicare (no Medicaid)","2021","Suburban","19 Years and Older","0% or more FPL","357,394","338,634","376,154","23.6","22.3","24.9"
