"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"0 Visits","2010","Appalachian","19 Years and Older","0% or more FPL","995,956","950,686","1,041,226","73.2","70.7","75.7"
"0 Visits","2010","Metropolitan","19 Years and Older","0% or more FPL","3,500,374","3,412,672","3,588,076","74.2","72.8","75.6"
"0 Visits","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","865,804","825,923","905,685","75.5","73.0","78.0"
"0 Visits","2010","Suburban","19 Years and Older","0% or more FPL","1,074,878","1,029,161","1,120,595","76.4","74.1","78.8"
"1 Visit","2010","Appalachian","19 Years and Older","0% or more FPL","240,614","209,914","271,314","17.7","15.5","19.9"
"1 Visit","2010","Metropolitan","19 Years and Older","0% or more FPL","728,204","673,287","783,121","15.4","14.3","16.6"
"1 Visit","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","161,406","138,493","184,320","14.1","12.1","16.0"
"1 Visit","2010","Suburban","19 Years and Older","0% or more FPL","205,384","177,406","233,363","14.6","12.7","16.5"
"2 Visits","2010","Appalachian","19 Years and Older","0% or more FPL","69,516","51,964","87,068","5.1","3.8","6.4"
"2 Visits","2010","Metropolitan","19 Years and Older","0% or more FPL","222,728","189,837","255,620","4.7","4.0","5.4"
"2 Visits","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","55,907","40,745","71,070","4.9","3.6","6.2"
"2 Visits","2010","Suburban","19 Years and Older","0% or more FPL","60,475","44,833","76,116","4.3","3.2","5.4"
"3 or More Visits","2010","Appalachian","19 Years and Older","0% or more FPL","53,715","38,277","69,153","4.0","2.8","5.1"
"3 or More Visits","2010","Metropolitan","19 Years and Older","0% or more FPL","265,721","229,718","301,723","5.6","4.9","6.4"
"3 or More Visits","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","63,995","46,656","81,334","5.6","4.1","7.1"
"3 or More Visits","2010","Suburban","19 Years and Older","0% or more FPL","65,960","47,578","84,343","4.7","3.4","6.0"
"0 Visits","2012","Appalachian","19 Years and Older","0% or more FPL","991,893","955,839","1,027,947","73.4","71.8","75.1"
"0 Visits","2012","Metropolitan","19 Years and Older","0% or more FPL","3,546,550","3,477,941","3,615,160","75.5","74.6","76.4"
"0 Visits","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","882,222","845,879","918,564","77.9","76.1","79.7"
"0 Visits","2012","Suburban","19 Years and Older","0% or more FPL","1,108,051","1,065,593","1,150,509","78.3","76.7","80.0"
"1 Visit","2012","Appalachian","19 Years and Older","0% or more FPL","203,243","184,694","221,793","15.0","13.8","16.3"
"1 Visit","2012","Metropolitan","19 Years and Older","0% or more FPL","676,767","640,479","713,056","14.4","13.7","15.2"
"1 Visit","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","142,501","126,108","158,894","12.6","11.2","14.0"
"1 Visit","2012","Suburban","19 Years and Older","0% or more FPL","201,201","180,648","221,754","14.2","12.9","15.6"
