"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Obese BMI","2010","Appalachian","19 Years and Older","0% or more FPL","402,930","367,198","438,661","30.6","28.0","33.1"
"Obese BMI","2010","Metropolitan","19 Years and Older","0% or more FPL","1,461,981","1,389,601","1,534,361","32.0","30.6","33.5"
"Obese BMI","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","367,596","334,902","400,289","33.3","30.6","36.0"
"Obese BMI","2010","Suburban","19 Years and Older","0% or more FPL","419,361","383,696","455,026","30.8","28.4","33.3"
"Obese BMI","2012","Appalachian","19 Years and Older","0% or more FPL","464,912","438,505","491,319","35.4","33.6","37.1"
"Obese BMI","2012","Metropolitan","19 Years and Older","0% or more FPL","1,434,516","1,385,733","1,483,298","31.5","30.6","32.5"
"Obese BMI","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","361,755","336,619","386,892","32.9","30.9","34.9"
"Obese BMI","2012","Suburban","19 Years and Older","0% or more FPL","464,167","434,383","493,952","33.5","31.7","35.4"
"Obese BMI","2015","Appalachian","19 Years and Older","0% or more FPL","515,243","496,148","534,339","37.3","36.1","38.5"
"Obese BMI","2015","Metropolitan","19 Years and Older","0% or more FPL","1,505,376","1,470,952","1,539,799","33.5","32.8","34.2"
"Obese BMI","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","386,168","370,184","402,153","35.6","34.3","36.9"
"Obese BMI","2015","Suburban","19 Years and Older","0% or more FPL","431,502","414,015","448,990","34.1","32.9","35.3"
"Obese BMI","2017","Appalachian","19 Years and Older","0% or more FPL","520,138","498,487","541,788","39.4","38.0","40.8"
"Obese BMI","2017","Metropolitan","19 Years and Older","0% or more FPL","1,515,644","1,477,982","1,553,307","34.2","33.4","35.0"
"Obese BMI","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","417,345","399,385","435,305","37.5","36.0","38.9"
"Obese BMI","2017","Suburban","19 Years and Older","0% or more FPL","449,920","430,474","469,367","35.0","33.6","36.3"
"Obese BMI","2019","Appalachian","19 Years and Older","0% or more FPL","478,070","453,866","502,274","37.0","35.2","38.8"
"Obese BMI","2019","Metropolitan","19 Years and Older","0% or more FPL","1,624,334","1,571,641","1,677,027","35.8","34.8","36.8"
"Obese BMI","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","400,332","376,634","424,030","36.5","34.4","38.5"
"Obese BMI","2019","Suburban","19 Years and Older","0% or more FPL","508,842","482,544","535,140","36.2","34.6","37.8"
"Obese BMI","2021","Appalachian","19 Years and Older","0% or more FPL","536,405","511,767","561,044","42.2","40.6","43.9"
"Obese BMI","2021","Metropolitan","19 Years and Older","0% or more FPL","1,725,558","1,677,926","1,773,189","38.0","37.1","38.9"
"Obese BMI","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","458,962","436,619","481,304","42.0","40.2","43.9"
"Obese BMI","2021","Suburban","19 Years and Older","0% or more FPL","547,472","516,251","578,693","39.0","37.2","40.8"
