"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"White or Other","2010","Appalachian","19 Years and Older","0% or more FPL","1,282,802","1,238,715","1,326,890","93.9","92.4","95.3"
"White or Other","2010","Metropolitan","19 Years and Older","0% or more FPL","3,685,220","3,595,411","3,775,028","77.7","76.5","79.0"
"White or Other","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,081,806","1,042,675","1,120,936","93.9","92.4","95.4"
"White or Other","2010","Suburban","19 Years and Older","0% or more FPL","1,307,060","1,262,595","1,351,525","92.8","91.2","94.3"
"Black","2010","Appalachian","19 Years and Older","0% or more FPL","47,115","31,770","62,460","3.4","2.3","4.6"
"Black","2010","Metropolitan","19 Years and Older","0% or more FPL","838,340","784,729","891,951","17.7","16.6","18.8"
"Black","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","30,797","18,096","43,497","2.7","1.6","3.8"
"Black","2010","Suburban","19 Years and Older","0% or more FPL","52,639","36,165","69,112","3.7","2.6","4.9"
"Hispanic","2010","Appalachian","19 Years and Older","0% or more FPL","29,171","16,497","41,845","2.1","1.2","3.1"
"Hispanic","2010","Metropolitan","19 Years and Older","0% or more FPL","162,687","132,819","192,554","3.4","2.8","4.1"
"Hispanic","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","33,749","21,639","45,859","2.9","1.9","4.0"
"Hispanic","2010","Suburban","19 Years and Older","0% or more FPL","44,646","29,027","60,266","3.2","2.1","4.3"
"Asian","2010","Appalachian","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asian","2010","Metropolitan","19 Years and Older","0% or more FPL","56,221","38,951","73,491","1.2","0.8","1.5"
"Asian","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asian","2010","Suburban","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"White or Other","2012","Appalachian","19 Years and Older","0% or more FPL","1,319,014","1,278,455","1,359,574","97.1","96.5","97.6"
"White or Other","2012","Metropolitan","19 Years and Older","0% or more FPL","3,484,759","3,415,898","3,553,620","73.8","72.9","74.7"
"White or Other","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,084,713","1,045,115","1,124,311","95.4","94.6","96.2"
"White or Other","2012","Suburban","19 Years and Older","0% or more FPL","1,338,741","1,293,352","1,384,130","94.2","93.3","95.1"
"Black","2012","Appalachian","19 Years and Older","0% or more FPL","20,486","15,269","25,702","1.5","1.1","1.9"
"Black","2012","Metropolitan","19 Years and Older","0% or more FPL","904,688","867,621","941,756","19.2","18.4","19.9"
"Black","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","21,836","15,671","28,001","1.9","1.4","2.5"
