"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","19 Years and Older","0% or more FPL","790,653","762,080","819,226","61.3","59.7","62.9"
"Did not need care","2021","Metropolitan","19 Years and Older","0% or more FPL","2,769,153","2,711,706","2,826,600","61.0","60.1","61.9"
"Did not need care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","685,266","657,207","713,324","62.5","60.7","64.2"
"Did not need care","2021","Suburban","19 Years and Older","0% or more FPL","873,931","834,891","912,970","61.2","59.5","62.9"
"Received needed care","2021","Appalachian","19 Years and Older","0% or more FPL","447,495","425,570","469,420","34.7","33.1","36.2"
"Received needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","1,580,872","1,536,273","1,625,472","34.8","33.9","35.7"
"Received needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","374,771","356,315","393,226","34.2","32.5","35.8"
"Received needed care","2021","Suburban","19 Years and Older","0% or more FPL","512,225","489,476","534,973","35.9","34.2","37.5"
"Did not receive needed care","2021","Appalachian","19 Years and Older","0% or more FPL","52,271","43,915","60,627","4.1","3.4","4.7"
"Did not receive needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","190,888","173,141","208,636","4.2","3.8","4.6"
"Did not receive needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","37,141","28,220","46,063","3.4","2.6","4.2"
"Did not receive needed care","2021","Suburban","19 Years and Older","0% or more FPL","41,988","33,333","50,644","2.9","2.3","3.5"
