"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"No Usual Source of Care","2019","Appalachian","19 Years and Older","0% or more FPL","103,725","91,538","115,913","8.0","7.1","8.9"
"No Usual Source of Care","2019","Metropolitan","19 Years and Older","0% or more FPL","395,017","370,251","419,783","8.7","8.1","9.2"
"No Usual Source of Care","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","106,172","92,688","119,656","9.6","8.4","10.8"
"No Usual Source of Care","2019","Suburban","19 Years and Older","0% or more FPL","132,452","116,563","148,342","9.2","8.2","10.3"
"Doctor's Office or Health Center","2019","Appalachian","19 Years and Older","0% or more FPL","856,244","824,085","888,402","65.8","63.9","67.7"
"Doctor's Office or Health Center","2019","Metropolitan","19 Years and Older","0% or more FPL","2,932,715","2,870,857","2,994,572","64.3","63.3","65.3"
"Doctor's Office or Health Center","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","781,043","744,148","817,938","70.8","69.0","72.6"
"Doctor's Office or Health Center","2019","Suburban","19 Years and Older","0% or more FPL","991,401","957,720","1,025,082","69.1","67.5","70.7"
"Hospital ER","2019","Appalachian","19 Years and Older","0% or more FPL","121,845","101,149","142,542","9.4","7.9","10.9"
"Hospital ER","2019","Metropolitan","19 Years and Older","0% or more FPL","453,897","426,007","481,788","10.0","9.4","10.5"
"Hospital ER","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","67,228","58,082","76,373","6.1","5.3","6.9"
"Hospital ER","2019","Suburban","19 Years and Older","0% or more FPL","77,355","67,244","87,466","5.4","4.7","6.1"
"Urgent Care Center","2019","Appalachian","19 Years and Older","0% or more FPL","119,696","106,725","132,666","9.2","8.2","10.2"
"Urgent Care Center","2019","Metropolitan","19 Years and Older","0% or more FPL","370,094","341,652","398,536","8.1","7.5","8.7"
"Urgent Care Center","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","85,604","74,530","96,677","7.8","6.8","8.8"
"Urgent Care Center","2019","Suburban","19 Years and Older","0% or more FPL","125,137","110,147","140,127","8.7","7.7","9.7"
"Clinic in a Pharmacy or Grocery Store","2019","Appalachian","19 Years and Older","0% or more FPL","52,757","42,376","63,138","4.1","3.3","4.8"
"Clinic in a Pharmacy or Grocery Store","2019","Metropolitan","19 Years and Older","0% or more FPL","225,373","205,517","245,228","4.9","4.5","5.4"
"Clinic in a Pharmacy or Grocery Store","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","26,213","21,325","31,100","2.4","1.9","2.8"
"Clinic in a Pharmacy or Grocery Store","2019","Suburban","19 Years and Older","0% or more FPL","73,429","61,460","85,397","5.1","4.3","5.9"
"Some Other Place","2019","Appalachian","19 Years and Older","0% or more FPL","46,690","38,334","55,047","3.6","3.0","4.2"
"Some Other Place","2019","Metropolitan","19 Years and Older","0% or more FPL","183,184","163,459","202,909","4.0","3.6","4.4"
"Some Other Place","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","37,104","29,413","44,795","3.4","2.7","4.1"
"Some Other Place","2019","Suburban","19 Years and Older","0% or more FPL","34,927","28,282","41,572","2.4","2.0","2.9"
"No Usual Source of Care","2021","Appalachian","19 Years and Older","0% or more FPL","158,949","141,918","175,981","12.3","11.1","13.6"
"No Usual Source of Care","2021","Metropolitan","19 Years and Older","0% or more FPL","495,262","466,487","524,038","10.8","10.2","11.5"
"No Usual Source of Care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","123,251","107,939","138,563","11.2","9.9","12.5"
"No Usual Source of Care","2021","Suburban","19 Years and Older","0% or more FPL","150,440","130,928","169,952","10.5","9.2","11.8"
"Doctor's Office or Health Center","2021","Appalachian","19 Years and Older","0% or more FPL","938,335","912,059","964,611","72.8","71.2","74.4"
"Doctor's Office or Health Center","2021","Metropolitan","19 Years and Older","0% or more FPL","3,431,445","3,376,133","3,486,758","75.2","74.3","76.0"
"Doctor's Office or Health Center","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","878,826","852,016","905,637","79.8","78.2","81.3"
"Doctor's Office or Health Center","2021","Suburban","19 Years and Older","0% or more FPL","1,109,209","1,074,425","1,143,993","77.6","76.0","79.3"
"Hospital ER","2021","Appalachian","19 Years and Older","0% or more FPL","46,463","37,554","55,371","3.6","2.9","4.3"
"Hospital ER","2021","Metropolitan","19 Years and Older","0% or more FPL","208,581","185,377","231,784","4.6","4.1","5.1"
"Hospital ER","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","22,940","17,271","28,609","2.1","1.6","2.6"
"Hospital ER","2021","Suburban","19 Years and Older","0% or more FPL","39,283","29,710","48,856","2.7","2.1","3.4"
"Urgent Care Center","2021","Appalachian","19 Years and Older","0% or more FPL","102,080","88,910","115,251","7.9","6.9","8.9"
"Urgent Care Center","2021","Metropolitan","19 Years and Older","0% or more FPL","254,661","233,230","276,091","5.6","5.1","6.0"
"Urgent Care Center","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","51,050","42,797","59,303","4.6","3.9","5.4"
"Urgent Care Center","2021","Suburban","19 Years and Older","0% or more FPL","77,989","65,676","90,302","5.5","4.6","6.3"
"Clinic in a Pharmacy or Grocery Store","2021","Appalachian","19 Years and Older","0% or more FPL","11,226","8,069","14,382","0.9","0.6","1.1"
"Clinic in a Pharmacy or Grocery Store","2021","Metropolitan","19 Years and Older","0% or more FPL","86,522","71,994","101,049","1.9","1.6","2.2"
"Clinic in a Pharmacy or Grocery Store","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","9,589","5,841","13,338","0.9","0.5","1.2"
"Clinic in a Pharmacy or Grocery Store","2021","Suburban","19 Years and Older","0% or more FPL","25,828","18,801","32,854","1.8","1.3","2.3"
