"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","19 Years and Older","0% or more FPL","1,252,337","1,223,304","1,281,369","96.6","95.9","97.3"
"Did not need care","2021","Metropolitan","19 Years and Older","0% or more FPL","4,425,370","4,364,240","4,486,499","96.9","96.5","97.4"
"Did not need care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,069,597","1,041,918","1,097,276","97.0","96.2","97.9"
"Did not need care","2021","Suburban","19 Years and Older","0% or more FPL","1,402,199","1,363,515","1,440,883","97.8","97.3","98.3"
"Received needed care","2021","Appalachian","19 Years and Older","0% or more FPL","39,050","30,092","48,007","3.0","2.3","3.7"
"Received needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","104,305","86,427","122,184","2.3","1.9","2.7"
"Received needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","26,764","18,610","34,919","2.4","1.7","3.2"
"Received needed care","2021","Suburban","19 Years and Older","0% or more FPL","25,222","18,819","31,625","1.8","1.3","2.2"
"Did not receive needed care","2021","Appalachian","19 Years and Older","0% or more FPL","5,054","2,822","7,286","0.4","0.2","0.6"
"Did not receive needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","35,310","27,565","43,056","0.8","0.6","0.9"
"Did not receive needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Did not receive needed care","2021","Suburban","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
