"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","19 Years and Older","0% or more FPL","518,344","493,005","543,683","40.1","38.4","41.7"
"Did not need care","2021","Metropolitan","19 Years and Older","0% or more FPL","1,929,361","1,875,926","1,982,797","42.2","41.3","43.2"
"Did not need care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","482,762","454,962","510,562","43.8","42.0","45.7"
"Did not need care","2021","Suburban","19 Years and Older","0% or more FPL","590,910","554,836","626,983","41.3","39.4","43.2"
"Received needed care","2021","Appalachian","19 Years and Older","0% or more FPL","660,088","634,799","685,378","51.0","49.3","52.7"
"Received needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","2,281,711","2,233,066","2,330,356","49.9","49.0","50.9"
"Received needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","550,017","529,910","570,124","50.0","48.1","51.8"
"Received needed care","2021","Suburban","19 Years and Older","0% or more FPL","755,318","728,119","782,518","52.8","50.9","54.6"
"Did not receive needed care","2021","Appalachian","19 Years and Older","0% or more FPL","115,518","103,062","127,974","8.9","8.0","9.9"
"Did not receive needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","359,714","335,054","384,374","7.9","7.3","8.4"
"Did not receive needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","68,296","58,723","77,868","6.2","5.3","7.1"
"Did not receive needed care","2021","Suburban","19 Years and Older","0% or more FPL","85,207","73,911","96,503","6.0","5.2","6.7"
