"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"1 adult, 0 kids","2010","Appalachian","19 Years and Older","0% or more FPL","294,255","266,782","321,728","21.6","19.5","23.6"
"1 adult, 0 kids","2010","Metropolitan","19 Years and Older","0% or more FPL","1,221,029","1,162,325","1,279,734","25.8","24.6","27.1"
"1 adult, 0 kids","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","212,657","189,952","235,361","18.5","16.5","20.5"
"1 adult, 0 kids","2010","Suburban","19 Years and Older","0% or more FPL","243,236","216,624","269,849","17.3","15.4","19.2"
"1 adult, 1+ kid","2010","Appalachian","19 Years and Older","0% or more FPL","72,492","55,344","89,641","5.3","4.1","6.6"
"1 adult, 1+ kid","2010","Metropolitan","19 Years and Older","0% or more FPL","283,742","248,551","318,932","6.0","5.3","6.7"
"1 adult, 1+ kid","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","49,431","34,982","63,880","4.3","3.1","5.5"
"1 adult, 1+ kid","2010","Suburban","19 Years and Older","0% or more FPL","58,493","41,676","75,310","4.2","3.0","5.3"
"2+ adults, 0 kids","2010","Appalachian","19 Years and Older","0% or more FPL","643,060","599,067","687,053","47.1","44.3","49.9"
"2+ adults, 0 kids","2010","Metropolitan","19 Years and Older","0% or more FPL","2,018,267","1,935,184","2,101,351","42.7","41.2","44.3"
"2+ adults, 0 kids","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","539,220","502,709","575,731","46.9","44.0","49.7"
"2+ adults, 0 kids","2010","Suburban","19 Years and Older","0% or more FPL","694,615","652,637","736,593","49.4","46.7","52.0"
"2+ adults, 1+ kid","2010","Appalachian","19 Years and Older","0% or more FPL","355,381","317,372","393,391","26.0","23.5","28.6"
"2+ adults, 1+ kid","2010","Metropolitan","19 Years and Older","0% or more FPL","1,200,889","1,128,183","1,273,594","25.4","24.0","26.8"
"2+ adults, 1+ kid","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","348,885","313,147","384,623","30.3","27.6","33.1"
"2+ adults, 1+ kid","2010","Suburban","19 Years and Older","0% or more FPL","410,754","370,539","450,969","29.2","26.6","31.7"
"1 adult, 0 kids","2012","Appalachian","19 Years and Older","0% or more FPL","274,241","255,351","293,130","20.2","18.9","21.5"
"1 adult, 0 kids","2012","Metropolitan","19 Years and Older","0% or more FPL","1,147,444","1,105,888","1,188,999","24.3","23.5","25.1"
"1 adult, 0 kids","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","200,952","184,537","217,367","17.7","16.3","19.1"
