"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Never","2019","Appalachian","19 Years and Older","0% or more FPL","932,104","901,049","963,159","70.7","68.8","72.5"
"Never","2019","Metropolitan","19 Years and Older","0% or more FPL","3,318,021","3,253,877","3,382,166","71.3","70.4","72.2"
"Never","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","836,023","803,594","868,451","74.5","72.4","76.6"
"Never","2019","Suburban","19 Years and Older","0% or more FPL","1,059,872","1,024,877","1,094,867","73.1","71.7","74.6"
"Every day or some days","2019","Appalachian","19 Years and Older","0% or more FPL","74,332","61,727","86,938","5.6","4.7","6.6"
"Every day or some days","2019","Metropolitan","19 Years and Older","0% or more FPL","226,179","206,744","245,614","4.9","4.4","5.3"
"Every day or some days","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","51,266","43,510","59,023","4.6","3.9","5.3"
"Every day or some days","2019","Suburban","19 Years and Older","0% or more FPL","74,513","62,800","86,226","5.1","4.4","5.9"
"Rarely or former","2019","Appalachian","19 Years and Older","0% or more FPL","312,549","285,787","339,311","23.7","21.9","25.5"
"Rarely or former","2019","Metropolitan","19 Years and Older","0% or more FPL","1,109,658","1,067,535","1,151,781","23.8","23.0","24.7"
"Rarely or former","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","234,985","208,306","261,665","20.9","18.9","23.0"
"Rarely or former","2019","Suburban","19 Years and Older","0% or more FPL","314,979","293,670","336,288","21.7","20.4","23.1"
"Never","2021","Appalachian","19 Years and Older","0% or more FPL","972,586","944,540","1,000,631","74.7","73.2","76.1"
"Never","2021","Metropolitan","19 Years and Older","0% or more FPL","3,481,481","3,426,462","3,536,499","75.4","74.5","76.2"
"Never","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","867,680","839,819","895,540","77.7","76.1","79.4"
"Never","2021","Suburban","19 Years and Older","0% or more FPL","1,150,497","1,112,755","1,188,240","79.3","77.9","80.8"
"Every day or some days","2021","Appalachian","19 Years and Older","0% or more FPL","71,657","60,762","82,551","5.5","4.7","6.3"
"Every day or some days","2021","Metropolitan","19 Years and Older","0% or more FPL","257,899","231,755","284,044","5.6","5.0","6.1"
"Every day or some days","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","63,794","51,891","75,696","5.7","4.7","6.8"
"Every day or some days","2021","Suburban","19 Years and Older","0% or more FPL","70,499","58,818","82,180","4.9","4.1","5.7"
"Rarely or former","2021","Appalachian","19 Years and Older","0% or more FPL","258,330","239,682","276,977","19.8","18.5","21.2"
"Rarely or former","2021","Metropolitan","19 Years and Older","0% or more FPL","880,162","841,363","918,960","19.1","18.3","19.8"
"Rarely or former","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","184,591","168,410","200,771","16.5","15.2","17.9"
"Rarely or former","2021","Suburban","19 Years and Older","0% or more FPL","229,496","209,966","249,026","15.8","14.5","17.1"
