"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Uninsured","2010","Appalachian","19 Years and Older","0% or more FPL","246,533","212,144","280,921","18.0","15.7","20.4"
"Uninsured","2010","Metropolitan","19 Years and Older","0% or more FPL","765,050","701,927","828,174","16.1","14.9","17.4"
"Uninsured","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","147,969","122,193","173,745","12.8","10.7","15.0"
"Uninsured","2010","Suburban","19 Years and Older","0% or more FPL","196,612","165,688","227,537","14.0","11.9","16.0"
"Uninsured","2012","Appalachian","19 Years and Older","0% or more FPL","217,449","195,753","239,144","16.0","14.5","17.5"
"Uninsured","2012","Metropolitan","19 Years and Older","0% or more FPL","700,017","657,891","742,143","14.8","14.0","15.7"
"Uninsured","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","160,203","140,061","180,344","14.1","12.5","15.7"
"Uninsured","2012","Suburban","19 Years and Older","0% or more FPL","151,919","132,138","171,699","10.7","9.4","12.0"
"Uninsured","2015","Appalachian","19 Years and Older","0% or more FPL","135,600","124,177","147,023","9.2","8.5","10.0"
"Uninsured","2015","Metropolitan","19 Years and Older","0% or more FPL","423,700","402,683","444,718","8.8","8.4","9.2"
"Uninsured","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","93,847","84,518","103,176","8.1","7.3","8.9"
"Uninsured","2015","Suburban","19 Years and Older","0% or more FPL","111,415","101,071","121,759","8.2","7.4","8.9"
"Uninsured","2017","Appalachian","19 Years and Older","0% or more FPL","113,456","102,108","124,803","7.9","7.1","8.7"
"Uninsured","2017","Metropolitan","19 Years and Older","0% or more FPL","378,587","357,296","399,878","7.8","7.4","8.2"
"Uninsured","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","83,563","74,612","92,514","7.0","6.2","7.7"
"Uninsured","2017","Suburban","19 Years and Older","0% or more FPL","86,456","76,358","96,554","6.2","5.5","6.9"
"Uninsured","2019","Appalachian","19 Years and Older","0% or more FPL","107,560","95,979","119,140","7.8","7.0","8.7"
"Uninsured","2019","Metropolitan","19 Years and Older","0% or more FPL","492,774","462,054","523,495","10.1","9.5","10.7"
"Uninsured","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","93,236","81,111","105,362","8.0","7.0","9.0"
"Uninsured","2019","Suburban","19 Years and Older","0% or more FPL","111,256","97,794","124,718","7.4","6.5","8.3"
"Uninsured","2021","Appalachian","19 Years and Older","0% or more FPL","104,435","90,176","118,694","7.7","6.7","8.7"
"Uninsured","2021","Metropolitan","19 Years and Older","0% or more FPL","312,507","285,022","339,991","6.4","5.9","6.9"
"Uninsured","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","65,556","51,596","79,516","5.6","4.5","6.8"
"Uninsured","2021","Suburban","19 Years and Older","0% or more FPL","89,388","70,963","107,812","5.9","4.7","7.1"
