"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Overweight BMI","2010","Appalachian","19 Years and Older","0% or more FPL","466,409","427,614","505,205","35.4","32.7","38.1"
"Overweight BMI","2010","Metropolitan","19 Years and Older","0% or more FPL","1,541,717","1,468,197","1,615,238","33.8","32.3","35.3"
"Overweight BMI","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","394,056","360,673","427,439","35.7","32.9","38.5"
"Overweight BMI","2010","Suburban","19 Years and Older","0% or more FPL","459,922","422,601","497,244","33.8","31.3","36.4"
"Overweight BMI","2012","Appalachian","19 Years and Older","0% or more FPL","428,099","402,962","453,237","32.6","30.9","34.2"
"Overweight BMI","2012","Metropolitan","19 Years and Older","0% or more FPL","1,564,525","1,512,768","1,616,283","34.4","33.4","35.4"
"Overweight BMI","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","420,175","392,978","447,371","38.2","36.2","40.3"
"Overweight BMI","2012","Suburban","19 Years and Older","0% or more FPL","475,982","445,955","506,009","34.4","32.5","36.3"
"Overweight BMI","2015","Appalachian","19 Years and Older","0% or more FPL","466,998","448,235","485,761","33.8","32.6","35.0"
"Overweight BMI","2015","Metropolitan","19 Years and Older","0% or more FPL","1,535,887","1,500,811","1,570,962","34.1","33.4","34.8"
"Overweight BMI","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","376,943","360,523","393,362","34.7","33.4","36.0"
"Overweight BMI","2015","Suburban","19 Years and Older","0% or more FPL","452,692","434,622","470,762","35.8","34.5","37.0"
"Overweight BMI","2017","Appalachian","19 Years and Older","0% or more FPL","427,962","408,083","447,840","32.4","31.1","33.8"
"Overweight BMI","2017","Metropolitan","19 Years and Older","0% or more FPL","1,486,231","1,448,929","1,523,532","33.5","32.7","34.3"
"Overweight BMI","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","376,514","359,311","393,718","33.8","32.4","35.2"
"Overweight BMI","2017","Suburban","19 Years and Older","0% or more FPL","434,268","414,580","453,956","33.7","32.4","35.1"
"Overweight BMI","2019","Appalachian","19 Years and Older","0% or more FPL","455,106","425,772","484,441","35.3","33.3","37.2"
"Overweight BMI","2019","Metropolitan","19 Years and Older","0% or more FPL","1,492,912","1,444,070","1,541,754","32.9","31.9","33.9"
"Overweight BMI","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","379,360","346,511","412,208","34.6","32.2","36.9"
"Overweight BMI","2019","Suburban","19 Years and Older","0% or more FPL","489,862","462,843","516,880","34.9","33.2","36.5"
"Overweight BMI","2021","Appalachian","19 Years and Older","0% or more FPL","405,246","383,035","427,457","31.9","30.3","33.5"
"Overweight BMI","2021","Metropolitan","19 Years and Older","0% or more FPL","1,431,123","1,388,858","1,473,388","31.5","30.7","32.4"
"Overweight BMI","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","341,696","322,727","360,665","31.3","29.6","33.0"
"Overweight BMI","2021","Suburban","19 Years and Older","0% or more FPL","447,377","422,495","472,258","31.9","30.2","33.5"
