"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"White","2012","Appalachian","19 Years and Older","0% or more FPL","1,315,324","1,274,731","1,355,916","96.8","96.2","97.3"
"White","2012","Metropolitan","19 Years and Older","0% or more FPL","3,470,159","3,401,156","3,539,161","73.5","72.6","74.4"
"White","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,082,026","1,042,404","1,121,648","95.2","94.4","96.0"
"White","2012","Suburban","19 Years and Older","0% or more FPL","1,334,705","1,289,275","1,380,135","93.9","93.1","94.8"
"Black","2012","Appalachian","19 Years and Older","0% or more FPL","20,486","15,269","25,702","1.5","1.1","1.9"
"Black","2012","Metropolitan","19 Years and Older","0% or more FPL","904,688","867,621","941,756","19.2","18.4","19.9"
"Black","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","21,836","15,671","28,001","1.9","1.4","2.5"
"Black","2012","Suburban","19 Years and Older","0% or more FPL","40,334","31,165","49,503","2.8","2.2","3.5"
"Hispanic","2012","Appalachian","19 Years and Older","0% or more FPL","14,617","10,067","19,167","1.1","0.7","1.4"
"Hispanic","2012","Metropolitan","19 Years and Older","0% or more FPL","154,035","137,520","170,549","3.3","2.9","3.6"
"Hispanic","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","20,477","14,842","26,111","1.8","1.3","2.3"
"Hispanic","2012","Suburban","19 Years and Older","0% or more FPL","23,058","16,749","29,367","1.6","1.2","2.1"
"Asian","2012","Appalachian","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asian","2012","Metropolitan","19 Years and Older","0% or more FPL","177,693","157,336","198,051","3.8","3.3","4.2"
"Asian","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","9,595","5,659","13,531","0.8","0.5","1.2"
"Asian","2012","Suburban","19 Years and Older","0% or more FPL","18,637","12,271","25,003","1.3","0.9","1.8"
"Other","2012","Appalachian","19 Years and Older","0% or more FPL","3,691","3,030","4,351","0.3","0.2","0.3"
"Other","2012","Metropolitan","19 Years and Older","0% or more FPL","14,600","13,080","16,121","0.3","0.3","0.3"
"Other","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","2,687","2,098","3,276","0.2","0.2","0.3"
"Other","2012","Suburban","19 Years and Older","0% or more FPL","4,036","3,184","4,888","0.3","0.2","0.3"
"White","2015","Appalachian","19 Years and Older","0% or more FPL","1,374,075","1,349,258","1,398,893","93.2","92.7","93.8"
"White","2015","Metropolitan","19 Years and Older","0% or more FPL","3,542,783","3,497,312","3,588,254","73.7","73.1","74.3"
"White","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,080,505","1,057,746","1,103,263","93.4","92.7","94.1"
"White","2015","Suburban","19 Years and Older","0% or more FPL","1,251,393","1,226,063","1,276,724","91.5","90.8","92.2"
"Black","2015","Appalachian","19 Years and Older","0% or more FPL","45,187","39,054","51,320","3.1","2.7","3.5"
"Black","2015","Metropolitan","19 Years and Older","0% or more FPL","896,517","870,621","922,413","18.6","18.1","19.2"
"Black","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","25,320","21,094","29,546","2.2","1.8","2.6"
"Black","2015","Suburban","19 Years and Older","0% or more FPL","51,475","45,164","57,786","3.8","3.3","4.2"
"Hispanic","2015","Appalachian","19 Years and Older","0% or more FPL","23,214","18,611","27,817","1.6","1.3","1.9"
"Hispanic","2015","Metropolitan","19 Years and Older","0% or more FPL","170,760","158,232","183,288","3.6","3.3","3.8"
"Hispanic","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","25,277","20,681","29,873","2.2","1.8","2.6"
"Hispanic","2015","Suburban","19 Years and Older","0% or more FPL","27,889","22,753","33,025","2.0","1.7","2.4"
"Asian","2015","Appalachian","19 Years and Older","0% or more FPL","9,822","6,755","12,888","0.7","0.5","0.9"
"Asian","2015","Metropolitan","19 Years and Older","0% or more FPL","125,916","112,340","139,492","2.6","2.3","2.9"
"Asian","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","15,066","10,664","19,467","1.3","0.9","1.7"
"Asian","2015","Suburban","19 Years and Older","0% or more FPL","21,901","16,940","26,861","1.6","1.2","2.0"
