"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Poor/Fair Overall Health","2010","Appalachian","19 Years and Older","0% or more FPL","342,529","308,298","376,760","25.2","22.8","27.6"
"Poor/Fair Overall Health","2010","Metropolitan","19 Years and Older","0% or more FPL","1,072,333","1,009,483","1,135,183","22.7","21.4","24.0"
"Poor/Fair Overall Health","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","225,423","199,210","251,635","19.6","17.4","21.8"
"Poor/Fair Overall Health","2010","Suburban","19 Years and Older","0% or more FPL","274,544","242,762","306,326","19.5","17.4","21.7"
"Poor/Fair Overall Health","2012","Appalachian","19 Years and Older","0% or more FPL","350,904","328,345","373,462","25.8","24.3","27.3"
"Poor/Fair Overall Health","2012","Metropolitan","19 Years and Older","0% or more FPL","1,029,711","988,596","1,070,826","21.8","21.0","22.6"
"Poor/Fair Overall Health","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","231,763","211,552","251,975","20.4","18.7","22.0"
"Poor/Fair Overall Health","2012","Suburban","19 Years and Older","0% or more FPL","244,776","224,175","265,377","17.2","15.8","18.6"
"Poor/Fair Overall Health","2015","Appalachian","19 Years and Older","0% or more FPL","318,150","303,046","333,254","21.6","20.6","22.6"
"Poor/Fair Overall Health","2015","Metropolitan","19 Years and Older","0% or more FPL","897,524","870,774","924,275","18.7","18.1","19.2"
"Poor/Fair Overall Health","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","202,526","190,679","214,373","17.5","16.5","18.5"
"Poor/Fair Overall Health","2015","Suburban","19 Years and Older","0% or more FPL","213,858","201,455","226,261","15.6","14.8","16.5"
"Poor/Fair Overall Health","2017","Appalachian","19 Years and Older","0% or more FPL","370,189","352,082","388,297","25.8","24.6","27.0"
"Poor/Fair Overall Health","2017","Metropolitan","19 Years and Older","0% or more FPL","980,797","949,587","1,012,007","20.2","19.6","20.9"
"Poor/Fair Overall Health","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","261,515","246,300","276,731","21.8","20.6","23.0"
"Poor/Fair Overall Health","2017","Suburban","19 Years and Older","0% or more FPL","250,945","235,978","265,912","18.1","17.0","19.1"
"Poor/Fair Overall Health","2019","Appalachian","19 Years and Older","0% or more FPL","346,514","322,439","370,589","25.3","23.6","26.9"
"Poor/Fair Overall Health","2019","Metropolitan","19 Years and Older","0% or more FPL","1,078,055","1,036,041","1,120,068","22.0","21.2","22.8"
"Poor/Fair Overall Health","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","239,698","220,886","258,510","20.5","18.9","22.1"
"Poor/Fair Overall Health","2019","Suburban","19 Years and Older","0% or more FPL","273,810","255,553","292,066","18.2","17.0","19.4"
"Poor/Fair Overall Health","2021","Appalachian","19 Years and Older","0% or more FPL","291,711","273,616","309,806","21.5","20.2","22.7"
"Poor/Fair Overall Health","2021","Metropolitan","19 Years and Older","0% or more FPL","866,951","833,927","899,974","17.8","17.1","18.4"
"Poor/Fair Overall Health","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","185,887","171,775","2e+05","15.9","14.7","17.1"
"Poor/Fair Overall Health","2021","Suburban","19 Years and Older","0% or more FPL","238,185","218,026","258,344","15.7","14.4","17.0"
