"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Did not need care","2021","Appalachian","19 Years and Older","0% or more FPL","643,133","616,539","669,727","49.7","48.0","51.3"
"Did not need care","2021","Metropolitan","19 Years and Older","0% or more FPL","2,147,804","2,095,637","2,199,972","47.0","46.0","47.9"
"Did not need care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","557,493","530,663","584,322","50.5","48.7","52.3"
"Did not need care","2021","Suburban","19 Years and Older","0% or more FPL","700,920","665,255","736,585","48.8","47.0","50.7"
"Received needed care","2021","Appalachian","19 Years and Older","0% or more FPL","466,782","443,925","489,639","36.0","34.5","37.6"
"Received needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","1,832,747","1,785,106","1,880,388","40.1","39.2","41.0"
"Received needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","428,158","407,946","448,371","38.8","37.1","40.5"
"Received needed care","2021","Suburban","19 Years and Older","0% or more FPL","590,611","564,213","617,009","41.1","39.4","42.9"
"Did not receive needed care","2021","Appalachian","19 Years and Older","0% or more FPL","184,932","169,454","200,411","14.3","13.1","15.4"
"Did not receive needed care","2021","Metropolitan","19 Years and Older","0% or more FPL","593,586","562,769","624,403","13.0","12.3","13.6"
"Did not receive needed care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","118,184","105,423","130,945","10.7","9.6","11.8"
"Did not receive needed care","2021","Suburban","19 Years and Older","0% or more FPL","144,196","128,220","160,172","10.0","9.0","11.1"
