"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Male","2010","Appalachian","19 Years and Older","0% or more FPL","662,407","614,602","710,212","48.5","45.7","51.2"
"Male","2010","Metropolitan","19 Years and Older","0% or more FPL","2,239,440","2,149,105","2,329,776","47.2","45.7","48.8"
"Male","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","561,328","519,962","602,694","48.7","45.9","51.6"
"Male","2010","Suburban","19 Years and Older","0% or more FPL","677,982","632,210","723,754","48.1","45.4","50.8"
"Female","2010","Appalachian","19 Years and Older","0% or more FPL","704,393","665,225","743,561","51.5","48.8","54.3"
"Female","2010","Metropolitan","19 Years and Older","0% or more FPL","2,503,027","2,424,886","2,581,168","52.8","51.2","54.3"
"Female","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","591,060","556,300","625,820","51.3","48.4","54.1"
"Female","2010","Suburban","19 Years and Older","0% or more FPL","731,000","689,045","772,956","51.9","49.2","54.6"
"Male","2012","Appalachian","19 Years and Older","0% or more FPL","638,173","604,208","672,138","47.0","45.2","48.8"
"Male","2012","Metropolitan","19 Years and Older","0% or more FPL","2,234,196","2,169,386","2,299,006","47.3","46.3","48.4"
"Male","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","585,922","552,053","619,792","51.5","49.5","53.6"
"Male","2012","Suburban","19 Years and Older","0% or more FPL","692,023","653,911","730,135","48.7","46.8","50.6"
"Female","2012","Appalachian","19 Years and Older","0% or more FPL","720,782","691,563","750,001","53.0","51.2","54.8"
"Female","2012","Metropolitan","19 Years and Older","0% or more FPL","2,486,979","2,430,010","2,543,949","52.7","51.6","53.7"
"Female","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","550,698","523,135","578,260","48.5","46.4","50.5"
"Female","2012","Suburban","19 Years and Older","0% or more FPL","728,747","695,063","762,431","51.3","49.4","53.2"
"Male","2015","Appalachian","19 Years and Older","0% or more FPL","713,680","690,768","736,592","48.4","47.2","49.7"
"Male","2015","Metropolitan","19 Years and Older","0% or more FPL","2,289,921","2,247,662","2,332,180","47.6","46.9","48.3"
"Male","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","581,822","561,582","602,062","50.3","49.0","51.6"
"Male","2015","Suburban","19 Years and Older","0% or more FPL","663,962","641,938","685,987","48.6","47.3","49.8"
"Female","2015","Appalachian","19 Years and Older","0% or more FPL","759,919","739,119","780,719","51.6","50.3","52.8"
"Female","2015","Metropolitan","19 Years and Older","0% or more FPL","2,519,115","2,478,583","2,559,647","52.4","51.7","53.1"
"Female","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","575,188","557,007","593,369","49.7","48.4","51.0"
"Female","2015","Suburban","19 Years and Older","0% or more FPL","703,048","682,417","723,679","51.4","50.2","52.7"
"Male","2017","Appalachian","19 Years and Older","0% or more FPL","670,617","646,422","694,813","46.7","45.3","48.1"
"Male","2017","Metropolitan","19 Years and Older","0% or more FPL","2,312,670","2,268,569","2,356,771","47.7","46.9","48.5"
"Male","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","606,312","585,005","627,619","50.6","49.2","52.0"
"Male","2017","Suburban","19 Years and Older","0% or more FPL","698,928","674,323","723,534","50.3","49.0","51.7"
"Female","2017","Appalachian","19 Years and Older","0% or more FPL","765,300","742,260","788,340","53.3","51.9","54.7"
"Female","2017","Metropolitan","19 Years and Older","0% or more FPL","2,533,009","2,488,760","2,577,258","52.3","51.5","53.1"
"Female","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","592,746","572,697","612,795","49.4","48.0","50.8"
"Female","2017","Suburban","19 Years and Older","0% or more FPL","689,616","667,005","712,227","49.7","48.3","51.0"
"Male","2019","Appalachian","19 Years and Older","0% or more FPL","644,833","614,992","674,674","47.0","45.1","48.9"
"Male","2019","Metropolitan","19 Years and Older","0% or more FPL","2,399,627","2,338,792","2,460,461","49.0","48.0","50.0"
"Male","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","559,302","527,086","591,518","47.9","45.8","50.0"
"Male","2019","Suburban","19 Years and Older","0% or more FPL","719,577","689,854","749,299","47.8","46.2","49.4"
"Female","2019","Appalachian","19 Years and Older","0% or more FPL","727,375","693,498","761,252","53.0","51.1","54.9"
"Female","2019","Metropolitan","19 Years and Older","0% or more FPL","2,493,812","2,435,504","2,552,120","51.0","50.0","52.0"
"Female","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","608,676","577,732","639,620","52.1","50.0","54.2"
"Female","2019","Suburban","19 Years and Older","0% or more FPL","786,139","753,129","819,150","52.2","50.6","53.8"
"Male","2021","Appalachian","19 Years and Older","0% or more FPL","616,491","587,472","645,510","45.4","43.7","47.0"
"Male","2021","Metropolitan","19 Years and Older","0% or more FPL","2,415,587","2,352,790","2,478,384","49.5","48.6","50.4"
"Male","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","542,818","513,760","571,877","46.6","44.7","48.4"
"Male","2021","Suburban","19 Years and Older","0% or more FPL","739,549","700,145","778,953","48.8","47.0","50.5"
"Female","2021","Appalachian","19 Years and Older","0% or more FPL","742,302","718,500","766,103","54.6","53.0","56.3"
"Female","2021","Metropolitan","19 Years and Older","0% or more FPL","2,466,132","2,422,095","2,510,169","50.5","49.6","51.4"
"Female","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","622,811","600,938","644,683","53.4","51.6","55.3"
"Female","2021","Suburban","19 Years and Older","0% or more FPL","777,363","751,800","802,926","51.2","49.5","53.0"
