"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Visited ER 3 or More Times (Past 12 Months)","2010","Appalachian","19 Years and Older","0% or more FPL","53,715","38,277","69,153","4.0","2.8","5.1"
"Visited ER 3 or More Times (Past 12 Months)","2010","Metropolitan","19 Years and Older","0% or more FPL","265,721","229,718","301,723","5.6","4.9","6.4"
"Visited ER 3 or More Times (Past 12 Months)","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","63,995","46,656","81,334","5.6","4.1","7.1"
"Visited ER 3 or More Times (Past 12 Months)","2010","Suburban","19 Years and Older","0% or more FPL","65,960","47,578","84,343","4.7","3.4","6.0"
"Visited ER 3 or More Times (Past 12 Months)","2012","Appalachian","19 Years and Older","0% or more FPL","79,116","66,643","91,589","5.9","5.0","6.8"
"Visited ER 3 or More Times (Past 12 Months)","2012","Metropolitan","19 Years and Older","0% or more FPL","247,930","224,826","271,033","5.3","4.8","5.8"
"Visited ER 3 or More Times (Past 12 Months)","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","69,323","56,546","82,100","6.1","5.0","7.2"
"Visited ER 3 or More Times (Past 12 Months)","2012","Suburban","19 Years and Older","0% or more FPL","53,401","41,806","64,997","3.8","3.0","4.6"
"Visited ER 3 or More Times (Past 12 Months)","2015","Appalachian","19 Years and Older","0% or more FPL","83,362","74,760","91,965","5.9","5.3","6.5"
"Visited ER 3 or More Times (Past 12 Months)","2015","Metropolitan","19 Years and Older","0% or more FPL","275,001","258,295","291,706","5.9","5.6","6.3"
"Visited ER 3 or More Times (Past 12 Months)","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","51,776","45,272","58,281","4.6","4.1","5.2"
"Visited ER 3 or More Times (Past 12 Months)","2015","Suburban","19 Years and Older","0% or more FPL","61,506","54,001","69,011","4.7","4.1","5.2"
"Visited ER 3 or More Times (Past 12 Months)","2017","Appalachian","19 Years and Older","0% or more FPL","92,524","83,095","101,953","6.8","6.1","7.5"
"Visited ER 3 or More Times (Past 12 Months)","2017","Metropolitan","19 Years and Older","0% or more FPL","305,970","287,065","324,874","6.7","6.3","7.1"
"Visited ER 3 or More Times (Past 12 Months)","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","73,286","64,435","82,137","6.4","5.6","7.1"
"Visited ER 3 or More Times (Past 12 Months)","2017","Suburban","19 Years and Older","0% or more FPL","67,255","58,767","75,743","5.1","4.4","5.7"
"Visited ER 3 or More Times (Past 12 Months)","2019","Appalachian","19 Years and Older","0% or more FPL","81,156","71,472","90,840","6.2","5.4","6.9"
"Visited ER 3 or More Times (Past 12 Months)","2019","Metropolitan","19 Years and Older","0% or more FPL","331,467","306,623","356,312","7.2","6.7","7.7"
"Visited ER 3 or More Times (Past 12 Months)","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","60,670","51,474","69,865","5.4","4.6","6.3"
"Visited ER 3 or More Times (Past 12 Months)","2019","Suburban","19 Years and Older","0% or more FPL","72,790","63,456","82,124","5.0","4.4","5.7"
"Visited ER 3 or More Times (Past 12 Months)","2021","Appalachian","19 Years and Older","0% or more FPL","88,331","78,225","98,437","6.5","5.8","7.2"
"Visited ER 3 or More Times (Past 12 Months)","2021","Metropolitan","19 Years and Older","0% or more FPL","326,037","299,833","352,242","6.7","6.2","7.2"
"Visited ER 3 or More Times (Past 12 Months)","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","63,975","52,023","75,927","5.5","4.5","6.5"
"Visited ER 3 or More Times (Past 12 Months)","2021","Suburban","19 Years and Older","0% or more FPL","68,149","57,960","78,338","4.5","3.8","5.2"
