"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Paying Rent or Mortgage","2017","Appalachian","19 Years and Older","0% or more FPL","214,088","198,972","229,205","16.0","14.9","17.1"
"Paying Rent or Mortgage","2017","Metropolitan","19 Years and Older","0% or more FPL","786,097","757,304","814,889","17.6","17.0","18.2"
"Paying Rent or Mortgage","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","164,178","152,360","175,995","14.6","13.6","15.6"
"Paying Rent or Mortgage","2017","Suburban","19 Years and Older","0% or more FPL","204,398","190,413","218,382","15.8","14.8","16.8"
"Paying Rent or Mortgage","2019","Appalachian","19 Years and Older","0% or more FPL","168,003","153,560","182,446","13.0","11.9","14.0"
"Paying Rent or Mortgage","2019","Metropolitan","19 Years and Older","0% or more FPL","708,791","675,857","741,726","15.6","14.9","16.3"
"Paying Rent or Mortgage","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","124,218","109,094","139,341","11.3","10.0","12.6"
"Paying Rent or Mortgage","2019","Suburban","19 Years and Older","0% or more FPL","177,363","160,273","194,452","12.5","11.3","13.6"
"Paying Rent or Mortgage","2021","Appalachian","19 Years and Older","0% or more FPL","287,034","268,612","305,455","22.3","21.0","23.7"
"Paying Rent or Mortgage","2021","Metropolitan","19 Years and Older","0% or more FPL","1,133,785","1,091,436","1,176,134","25.1","24.2","25.9"
"Paying Rent or Mortgage","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","227,584","208,354","246,815","20.9","19.3","22.5"
"Paying Rent or Mortgage","2021","Suburban","19 Years and Older","0% or more FPL","299,602","275,851","323,353","21.3","19.7","22.8"
