"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Avoided or Delayed Health Care","2017","Appalachian","19 Years and Older","0% or more FPL","336,413","318,311","354,515","24.9","23.7","26.1"
"Avoided or Delayed Health Care","2017","Metropolitan","19 Years and Older","0% or more FPL","1,130,347","1,096,070","1,164,624","25.1","24.4","25.8"
"Avoided or Delayed Health Care","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","265,973","250,617","281,330","23.4","22.1","24.6"
"Avoided or Delayed Health Care","2017","Suburban","19 Years and Older","0% or more FPL","318,232","300,418","336,046","24.3","23.1","25.5"
"Avoided or Delayed Health Care","2019","Appalachian","19 Years and Older","0% or more FPL","392,626","364,768","420,483","30.1","28.3","32.0"
"Avoided or Delayed Health Care","2019","Metropolitan","19 Years and Older","0% or more FPL","1,482,460","1,429,091","1,535,830","32.3","31.3","33.3"
"Avoided or Delayed Health Care","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","321,010","298,914","343,106","28.9","27.0","30.7"
"Avoided or Delayed Health Care","2019","Suburban","19 Years and Older","0% or more FPL","433,801","408,254","459,348","30.2","28.7","31.8"
"Avoided or Delayed Health Care","2021","Appalachian","19 Years and Older","0% or more FPL","365,581","344,603","386,560","28.3","26.8","29.8"
"Avoided or Delayed Health Care","2021","Metropolitan","19 Years and Older","0% or more FPL","1,253,135","1,210,471","1,295,800","27.5","26.7","28.4"
"Avoided or Delayed Health Care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","299,607","279,846","319,367","27.2","25.6","28.9"
"Avoided or Delayed Health Care","2021","Suburban","19 Years and Older","0% or more FPL","367,470","345,031","389,909","25.7","24.2","27.2"
