"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Currently Pregnant","2012","Appalachian","19 to 44","0% or more FPL","13,832","8,096","19,568","33.0","22.0","43.9"
"Currently Pregnant","2012","Metropolitan","19 to 44","0% or more FPL","31,317","22,553","40,081","20.4","15.3","25.6"
"Currently Pregnant","2012","Rural Non-Appalachian","19 to 44","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Currently Pregnant","2012","Suburban","19 to 44","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Currently Pregnant","2015","Appalachian","19 to 44","0% or more FPL","8,355","5,562","11,147","27.8","19.7","35.9"
"Currently Pregnant","2015","Metropolitan","19 to 44","0% or more FPL","42,048","34,523","49,574","31.3","26.8","35.9"
"Currently Pregnant","2015","Rural Non-Appalachian","19 to 44","0% or more FPL","8,634","5,964","11,304","31.4","23.3","39.6"
"Currently Pregnant","2015","Suburban","19 to 44","0% or more FPL","7,718","5,187","10,249","25.4","18.0","32.9"
"Currently Pregnant","2017","Appalachian","19 to 44","0% or more FPL","7,554","4,555","10,553","33.4","22.8","44.1"
"Currently Pregnant","2017","Metropolitan","19 to 44","0% or more FPL","30,178","23,905","36,451","25.9","21.3","30.6"
"Currently Pregnant","2017","Rural Non-Appalachian","19 to 44","0% or more FPL","4,101","2,321","5,881","22.6","13.9","31.3"
"Currently Pregnant","2017","Suburban","19 to 44","0% or more FPL","6,892","4,474","9,311","25.2","17.0","33.3"
"Currently Pregnant","2019","Appalachian","19 to 44","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Currently Pregnant","2019","Metropolitan","19 to 44","0% or more FPL","26,368","20,652","32,085","22.9","18.4","27.4"
"Currently Pregnant","2019","Rural Non-Appalachian","19 to 44","0% or more FPL","3,983","2,242","5,724","16.5","9.4","23.6"
"Currently Pregnant","2019","Suburban","19 to 44","0% or more FPL","8,894","4,824","12,964","22.6","13.6","31.5"
"Currently Pregnant","2021","Appalachian","19 to 44","0% or more FPL","12,257","8,009","16,506","29.3","20.6","38.1"
"Currently Pregnant","2021","Metropolitan","19 to 44","0% or more FPL","31,562","25,090","38,035","23.9","19.6","28.1"
"Currently Pregnant","2021","Rural Non-Appalachian","19 to 44","0% or more FPL","8,885","5,325","12,445","26.6","17.4","35.8"
"Currently Pregnant","2021","Suburban","19 to 44","0% or more FPL","7,003","3,734","10,273","21.4","12.5","30.3"
