"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"No Routine Doctor's Visit (Past 12 Months)","2010","Appalachian","19 Years and Older","0% or more FPL","303,995","267,888","340,102","23.6","21.0","26.1"
"No Routine Doctor's Visit (Past 12 Months)","2010","Metropolitan","19 Years and Older","0% or more FPL","1,011,477","943,095","1,079,858","22.1","20.7","23.5"
"No Routine Doctor's Visit (Past 12 Months)","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","291,830","258,710","324,951","26.3","23.6","29.0"
"No Routine Doctor's Visit (Past 12 Months)","2010","Suburban","19 Years and Older","0% or more FPL","319,747","284,379","355,116","24.1","21.6","26.5"
"No Routine Doctor's Visit (Past 12 Months)","2012","Appalachian","19 Years and Older","0% or more FPL","322,218","296,526","347,910","25.7","24.0","27.5"
"No Routine Doctor's Visit (Past 12 Months)","2012","Metropolitan","19 Years and Older","0% or more FPL","1,065,323","1,016,438","1,114,207","24.3","23.3","25.2"
"No Routine Doctor's Visit (Past 12 Months)","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","273,142","248,760","297,524","26.4","24.4","28.4"
"No Routine Doctor's Visit (Past 12 Months)","2012","Suburban","19 Years and Older","0% or more FPL","306,603","279,593","333,613","23.0","21.3","24.8"
"No Routine Doctor's Visit (Past 12 Months)","2015","Appalachian","19 Years and Older","0% or more FPL","285,884","269,723","302,044","20.8","19.7","21.8"
"No Routine Doctor's Visit (Past 12 Months)","2015","Metropolitan","19 Years and Older","0% or more FPL","883,379","853,898","912,859","19.6","19.0","20.2"
"No Routine Doctor's Visit (Past 12 Months)","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","227,425","213,575","241,276","21.1","19.9","22.2"
"No Routine Doctor's Visit (Past 12 Months)","2015","Suburban","19 Years and Older","0% or more FPL","269,674","254,518","284,830","21.0","20.0","22.1"
"No Routine Doctor's Visit (Past 12 Months)","2017","Appalachian","19 Years and Older","0% or more FPL","203,472","188,893","218,051","17.7","16.5","18.9"
"No Routine Doctor's Visit (Past 12 Months)","2017","Metropolitan","19 Years and Older","0% or more FPL","756,197","726,474","785,920","19.5","18.8","20.2"
"No Routine Doctor's Visit (Past 12 Months)","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","199,851","186,813","212,888","20.5","19.3","21.8"
"No Routine Doctor's Visit (Past 12 Months)","2017","Suburban","19 Years and Older","0% or more FPL","219,314","205,067","233,560","19.7","18.6","20.9"
"No Routine Doctor's Visit (Past 12 Months)","2019","Appalachian","19 Years and Older","0% or more FPL","205,901","187,125","224,677","18.4","16.8","19.9"
"No Routine Doctor's Visit (Past 12 Months)","2019","Metropolitan","19 Years and Older","0% or more FPL","692,250","659,251","725,249","17.7","16.9","18.5"
"No Routine Doctor's Visit (Past 12 Months)","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","187,536","170,274","204,799","19.6","17.9","21.4"
"No Routine Doctor's Visit (Past 12 Months)","2019","Suburban","19 Years and Older","0% or more FPL","220,161","201,523","238,800","17.9","16.5","19.3"
"No Routine Doctor's Visit (Past 12 Months)","2021","Appalachian","19 Years and Older","0% or more FPL","365,598","340,999","390,198","28.8","27.1","30.4"
"No Routine Doctor's Visit (Past 12 Months)","2021","Metropolitan","19 Years and Older","0% or more FPL","1,251,020","1,203,602","1,298,439","27.9","27.0","28.8"
"No Routine Doctor's Visit (Past 12 Months)","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","303,197","279,430","326,963","27.9","26.1","29.8"
"No Routine Doctor's Visit (Past 12 Months)","2021","Suburban","19 Years and Older","0% or more FPL","375,674","345,258","406,091","26.6","24.8","28.5"
