"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Up to high school but no diploma","2010","Appalachian","19 Years and Older","0% or more FPL","228,913","196,603","261,223","16.7","14.5","19.0"
"Up to high school but no diploma","2010","Metropolitan","19 Years and Older","0% or more FPL","615,519","559,830","671,208","13.0","11.9","14.1"
"Up to high school but no diploma","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","155,195","129,638","180,752","13.5","11.4","15.6"
"Up to high school but no diploma","2010","Suburban","19 Years and Older","0% or more FPL","135,497","110,026","160,968","9.6","7.9","11.4"
"High school graduate or equivalent","2010","Appalachian","19 Years and Older","0% or more FPL","595,908","554,060","637,755","43.6","40.9","46.3"
"High school graduate or equivalent","2010","Metropolitan","19 Years and Older","0% or more FPL","1,497,808","1,421,740","1,573,875","31.6","30.1","33.0"
"High school graduate or equivalent","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","494,234","456,798","531,670","42.9","40.1","45.7"
"High school graduate or equivalent","2010","Suburban","19 Years and Older","0% or more FPL","497,141","457,529","536,753","35.3","32.7","37.9"
"Some college","2010","Appalachian","19 Years and Older","0% or more FPL","150,226","127,940","172,512","11.0","9.4","12.6"
"Some college","2010","Metropolitan","19 Years and Older","0% or more FPL","689,108","637,349","740,867","14.5","13.5","15.6"
"Some college","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","141,758","120,892","162,623","12.3","10.5","14.1"
"Some college","2010","Suburban","19 Years and Older","0% or more FPL","205,333","177,408","233,258","14.6","12.7","16.5"
"Associate Degree","2010","Appalachian","19 Years and Older","0% or more FPL","164,721","139,769","189,674","12.1","10.3","13.8"
"Associate Degree","2010","Metropolitan","19 Years and Older","0% or more FPL","528,424","483,585","573,262","11.1","10.2","12.1"
"Associate Degree","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","122,453","101,823","143,084","10.6","8.9","12.4"
"Associate Degree","2010","Suburban","19 Years and Older","0% or more FPL","163,303","139,671","186,934","11.6","9.9","13.2"
"4-yr college graduate","2010","Appalachian","19 Years and Older","0% or more FPL","131,969","109,054","154,883","9.7","8.0","11.3"
