"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Private","2010","Appalachian","19 Years and Older","0% or more FPL","125,954","101,783","150,125","9.2","7.5","10.9"
"Private","2010","Metropolitan","19 Years and Older","0% or more FPL","428,653","383,943","473,362","9.0","8.1","10.0"
"Private","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","97,449","78,152","116,745","8.5","6.8","10.1"
"Private","2010","Suburban","19 Years and Older","0% or more FPL","116,480","93,596","139,364","8.3","6.7","9.8"
"Private","2012","Appalachian","19 Years and Older","0% or more FPL","122,920","106,805","139,035","9.0","7.9","10.2"
"Private","2012","Metropolitan","19 Years and Older","0% or more FPL","452,765","420,546","484,984","9.6","8.9","10.2"
"Private","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","99,644","84,924","114,364","8.8","7.5","10.0"
"Private","2012","Suburban","19 Years and Older","0% or more FPL","128,233","110,579","145,886","9.0","7.8","10.2"
"Private","2015","Appalachian","19 Years and Older","0% or more FPL","103,339","93,264","113,414","7.0","6.3","7.7"
"Private","2015","Metropolitan","19 Years and Older","0% or more FPL","324,425","305,388","343,462","6.7","6.4","7.1"
"Private","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","83,975","75,296","92,654","7.3","6.5","8.0"
"Private","2015","Suburban","19 Years and Older","0% or more FPL","96,105","86,690","105,519","7.0","6.4","7.7"
"Private","2017","Appalachian","19 Years and Older","0% or more FPL","140,016","127,328","152,704","9.8","8.9","10.6"
"Private","2017","Metropolitan","19 Years and Older","0% or more FPL","467,363","444,615","490,112","9.6","9.2","10.1"
"Private","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","116,492","106,032","126,951","9.7","8.9","10.6"
"Private","2017","Suburban","19 Years and Older","0% or more FPL","140,292","128,079","152,504","10.1","9.3","10.9"
"Private","2019","Appalachian","19 Years and Older","0% or more FPL","137,531","119,138","155,924","10.0","8.7","11.3"
"Private","2019","Metropolitan","19 Years and Older","0% or more FPL","442,001","414,911","469,091","9.0","8.5","9.6"
"Private","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","125,938","101,304","150,573","10.8","8.8","12.7"
"Private","2019","Suburban","19 Years and Older","0% or more FPL","164,633","146,511","182,755","10.9","9.8","12.1"
"Private","2021","Appalachian","19 Years and Older","0% or more FPL","119,658","103,856","135,459","8.8","7.7","9.9"
"Private","2021","Metropolitan","19 Years and Older","0% or more FPL","441,219","411,203","471,235","9.0","8.4","9.6"
"Private","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","110,215","92,769","127,661","9.5","8.0","10.9"
"Private","2021","Suburban","19 Years and Older","0% or more FPL","142,465","126,967","157,962","9.4","8.4","10.4"
