"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Employer-Sponsored","2010","Appalachian","19 Years and Older","0% or more FPL","550,718","508,990","592,447","40.3","37.6","43.0"
"Employer-Sponsored","2010","Metropolitan","19 Years and Older","0% or more FPL","2,107,397","2,024,018","2,190,775","44.4","42.9","46.0"
"Employer-Sponsored","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","584,562","544,386","624,737","50.7","47.9","53.6"
"Employer-Sponsored","2010","Suburban","19 Years and Older","0% or more FPL","725,309","681,100","769,518","51.5","48.8","54.2"
"Medicaid","2010","Appalachian","19 Years and Older","0% or more FPL","160,218","136,664","183,772","11.7","10.0","13.4"
"Medicaid","2010","Metropolitan","19 Years and Older","0% or more FPL","546,199","499,049","593,349","11.5","10.5","12.5"
"Medicaid","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","103,935","85,211","122,659","9.0","7.4","10.6"
"Medicaid","2010","Suburban","19 Years and Older","0% or more FPL","119,552","95,721","143,382","8.5","6.8","10.1"
"Other Insured","2010","Appalachian","19 Years and Older","0% or more FPL","409,331","376,036","442,625","29.9","27.5","32.4"
"Other Insured","2010","Metropolitan","19 Years and Older","0% or more FPL","1,323,821","1,262,173","1,385,470","27.9","26.6","29.2"
"Other Insured","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","315,923","289,674","342,172","27.4","25.1","29.8"
"Other Insured","2010","Suburban","19 Years and Older","0% or more FPL","367,509","337,495","397,523","26.1","23.9","28.3"
"Uninsured","2010","Appalachian","19 Years and Older","0% or more FPL","246,533","212,144","280,921","18.0","15.7","20.4"
"Uninsured","2010","Metropolitan","19 Years and Older","0% or more FPL","765,050","701,927","828,174","16.1","14.9","17.4"
"Uninsured","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","147,969","122,193","173,745","12.8","10.7","15.0"
"Uninsured","2010","Suburban","19 Years and Older","0% or more FPL","196,612","165,688","227,537","14.0","11.9","16.0"
"Employer-Sponsored","2012","Appalachian","19 Years and Older","0% or more FPL","559,356","528,850","589,861","41.2","39.4","42.9"
"Employer-Sponsored","2012","Metropolitan","19 Years and Older","0% or more FPL","2,050,653","1,991,362","2,109,944","43.4","42.4","44.5"
"Employer-Sponsored","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","534,190","503,124","565,256","47.0","44.9","49.1"
"Employer-Sponsored","2012","Suburban","19 Years and Older","0% or more FPL","735,069","696,693","773,444","51.7","49.8","53.7"
"Medicaid","2012","Appalachian","19 Years and Older","0% or more FPL","210,708","192,268","229,147","15.5","14.2","16.8"
"Medicaid","2012","Metropolitan","19 Years and Older","0% or more FPL","638,824","603,694","673,954","13.5","12.8","14.2"
"Medicaid","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","118,107","102,913","133,301","10.4","9.1","11.7"
"Medicaid","2012","Suburban","19 Years and Older","0% or more FPL","119,611","103,187","136,035","8.4","7.3","9.5"
"Other Insured","2012","Appalachian","19 Years and Older","0% or more FPL","371,443","351,233","391,653","27.3","25.9","28.8"
"Other Insured","2012","Metropolitan","19 Years and Older","0% or more FPL","1,331,680","1,290,191","1,373,170","28.2","27.3","29.1"
"Other Insured","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","324,120","304,043","344,198","28.5","26.8","30.2"
"Other Insured","2012","Suburban","19 Years and Older","0% or more FPL","414,171","390,331","438,011","29.2","27.5","30.8"
"Uninsured","2012","Appalachian","19 Years and Older","0% or more FPL","217,449","195,753","239,144","16.0","14.5","17.5"
"Uninsured","2012","Metropolitan","19 Years and Older","0% or more FPL","700,017","657,891","742,143","14.8","14.0","15.7"
"Uninsured","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","160,203","140,061","180,344","14.1","12.5","15.7"
"Uninsured","2012","Suburban","19 Years and Older","0% or more FPL","151,919","132,138","171,699","10.7","9.4","12.0"
"Employer-Sponsored","2015","Appalachian","19 Years and Older","0% or more FPL","604,176","582,685","625,668","41.0","39.8","42.2"
"Employer-Sponsored","2015","Metropolitan","19 Years and Older","0% or more FPL","2,117,592","2,075,989","2,159,195","44.0","43.3","44.7"
"Employer-Sponsored","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","538,183","518,063","558,302","46.5","45.2","47.9"
"Employer-Sponsored","2015","Suburban","19 Years and Older","0% or more FPL","668,382","646,115","690,648","48.9","47.7","50.1"
"Medicaid","2015","Appalachian","19 Years and Older","0% or more FPL","305,051","290,460","319,643","20.7","19.7","21.7"
"Medicaid","2015","Metropolitan","19 Years and Older","0% or more FPL","985,103","956,206","1,014,000","20.5","19.9","21.1"
"Medicaid","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","171,528","160,869","182,188","14.8","13.9","15.7"
"Medicaid","2015","Suburban","19 Years and Older","0% or more FPL","195,245","183,392","207,098","14.3","13.4","15.1"
"Other Insured","2015","Appalachian","19 Years and Older","0% or more FPL","428,772","411,834","445,709","29.1","28.0","30.2"
"Other Insured","2015","Metropolitan","19 Years and Older","0% or more FPL","1,282,640","1,252,822","1,312,459","26.7","26.1","27.3"
"Other Insured","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","353,452","339,155","367,749","30.5","29.4","31.7"
"Other Insured","2015","Suburban","19 Years and Older","0% or more FPL","391,968","376,643","407,293","28.7","27.6","29.7"
"Uninsured","2015","Appalachian","19 Years and Older","0% or more FPL","135,600","124,177","147,023","9.2","8.5","10.0"
"Uninsured","2015","Metropolitan","19 Years and Older","0% or more FPL","423,700","402,683","444,718","8.8","8.4","9.2"
"Uninsured","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","93,847","84,518","103,176","8.1","7.3","8.9"
"Uninsured","2015","Suburban","19 Years and Older","0% or more FPL","111,415","101,071","121,759","8.2","7.4","8.9"
"Employer-Sponsored","2017","Appalachian","19 Years and Older","0% or more FPL","532,458","509,385","555,531","37.1","35.7","38.4"
"Employer-Sponsored","2017","Metropolitan","19 Years and Older","0% or more FPL","1,972,259","1,929,702","2,014,816","40.7","39.9","41.5"
"Employer-Sponsored","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","500,069","479,236","520,903","41.7","40.3","43.1"
"Employer-Sponsored","2017","Suburban","19 Years and Older","0% or more FPL","640,475","616,198","664,753","46.1","44.8","47.5"
"Medicaid","2017","Appalachian","19 Years and Older","0% or more FPL","309,612","293,345","325,880","21.6","20.5","22.6"
"Medicaid","2017","Metropolitan","19 Years and Older","0% or more FPL","1,053,873","1,021,310","1,086,436","21.7","21.1","22.4"
"Medicaid","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","188,912","176,902","200,921","15.8","14.8","16.7"
"Medicaid","2017","Suburban","19 Years and Older","0% or more FPL","186,347","173,248","199,446","13.4","12.5","14.3"
"Other Insured","2017","Appalachian","19 Years and Older","0% or more FPL","480,391","461,443","499,338","33.5","32.2","34.7"
"Other Insured","2017","Metropolitan","19 Years and Older","0% or more FPL","1,440,961","1,406,031","1,475,890","29.7","29.0","30.4"
"Other Insured","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","426,514","409,649","443,380","35.6","34.2","36.9"
"Other Insured","2017","Suburban","19 Years and Older","0% or more FPL","475,267","457,046","493,487","34.2","33.0","35.5"
"Uninsured","2017","Appalachian","19 Years and Older","0% or more FPL","113,456","102,108","124,803","7.9","7.1","8.7"
"Uninsured","2017","Metropolitan","19 Years and Older","0% or more FPL","378,587","357,296","399,878","7.8","7.4","8.2"
